rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,420397,2019,2026-06-16T00:03:03-07:00
2,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,480839,2019,2026-06-16T00:03:03-07:00
3,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,298781,2022,2026-06-16T00:03:03-07:00
4,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.6,20688,2026,2026-06-16T00:03:03-07:00
5,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.2,34783,2026,2026-06-16T00:03:03-07:00
6,Черный двор. Побег,,https://www.kinopoisk.ru/series/12305098/,7.7,144846,2026,2026-06-16T00:03:03-07:00
7,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.9,8591,2026,2026-06-16T00:03:03-07:00
8,Ателье колдовских колпаков,Tongari Boushi no Atelier,https://www.kinopoisk.ru/series/6802576/,8.9,39581,2026,2026-06-16T00:03:03-07:00
9,Закулисье,Backrooms,https://www.kinopoisk.ru/series/5129650/,7.5,5497,2022,2026-06-16T00:03:03-07:00
10,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1539707,2011,2026-06-16T00:03:03-07:00
11,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.6,6652,2026,2026-06-16T00:03:03-07:00
12,Черный двор,,https://www.kinopoisk.ru/series/5319979/,7.8,256760,2023,2026-06-16T00:03:03-07:00
13,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.8,85893,2016,2026-06-16T00:03:03-07:00
14,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,957553,2013,2026-06-16T00:03:03-07:00
15,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,952312,2013,2026-06-16T00:03:03-07:00
16,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,417519,2022,2026-06-16T00:03:03-07:00
17,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1067886,2020,2026-06-16T00:03:03-07:00
18,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,396661,2006,2026-06-16T00:03:03-07:00
19,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,817820,2008,2026-06-16T00:03:03-07:00
20,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,397246,2011,2026-06-16T00:03:03-07:00
21,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,802951,2022,2026-06-16T00:03:03-07:00
22,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,303307,1999,2026-06-16T00:03:03-07:00
23,Каждый год после,Every Year After,https://www.kinopoisk.ru/series/11827840/,6.7,1612,2026,2026-06-16T00:03:03-07:00
24,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,192092,2018,2026-06-16T00:03:03-07:00
25,Мыс страха,Cape Fear,https://www.kinopoisk.ru/series/6576642/,7.2,1696,2026,2026-06-16T00:03:03-07:00
26,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.4,842656,2016,2026-06-16T00:03:03-07:00
27,Получеловек,Half Man,https://www.kinopoisk.ru/series/7919289/,7.8,3639,2026,2026-06-16T00:03:03-07:00
28,Бороуз,The Boroughs,https://www.kinopoisk.ru/series/7385223/,7.2,7417,2026,2026-06-16T00:03:03-07:00
29,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,636429,2010,2026-06-16T00:03:03-07:00
30,Слабый герой,Yakhan yeongung,https://www.kinopoisk.ru/series/4857811/,8.4,301234,2022,2026-06-16T00:03:03-07:00
31,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,707675,2015,2026-06-16T00:03:03-07:00
32,Ещё 17,Daha on Yedi,https://www.kinopoisk.ru/series/12588511/,,0,2026,2026-06-16T00:03:03-07:00
33,Острые козырьки,Peaky Blinders,https://www.kinopoisk.ru/series/716587/,8.3,585912,2013,2026-06-16T00:03:03-07:00
34,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,159159,2025,2026-06-16T00:03:03-07:00
35,День Шакала,The Day of the Jackal,https://www.kinopoisk.ru/series/5461927/,7.9,80121,2024,2026-06-16T00:03:03-07:00
36,Детство Шелдона,Young Sheldon,https://www.kinopoisk.ru/series/1040419/,8.8,542698,2017,2026-06-16T00:03:03-07:00
37,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,638281,2005,2026-06-16T00:03:03-07:00
38,Адский рай,Jigokuraku,https://www.kinopoisk.ru/series/4786341/,8.4,131588,2023,2026-06-16T00:03:03-07:00
39,Ранчо Даттонов,Dutton Ranch,https://www.kinopoisk.ru/series/7275308/,8.6,5218,2026,2026-06-16T00:03:03-07:00
40,Суперчудаки,Deo wondeopulseu,https://www.kinopoisk.ru/series/6572309/,8.1,2742,2026,2026-06-16T00:03:03-07:00
41,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,277928,2018,2026-06-16T00:03:03-07:00
42,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,53440,2025,2026-06-16T00:03:03-07:00
43,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,557907,2014,2026-06-16T00:03:03-07:00
44,Красота,The Beauty,https://www.kinopoisk.ru/series/7178204/,7.0,22368,2026,2026-06-16T00:03:03-07:00
45,Военный повар становится легендой,Chwisabyeong jeonseoli doeda,https://www.kinopoisk.ru/series/8425589/,8.1,5231,2026,2026-06-16T00:03:03-07:00
46,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,357966,1998,2026-06-16T00:03:03-07:00
47,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,226825,2015,2026-06-16T00:03:03-07:00
48,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,413636,2004,2026-06-16T00:03:03-07:00
49,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,133067,2023,2026-06-16T00:03:03-07:00
50,Марианна,Marianne,https://www.kinopoisk.ru/series/1297198/,6.7,16582,2019,2026-06-16T00:03:03-07:00
