rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,839526,2022,2026-07-31T00:29:22-07:00
2,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,443210,2019,2026-07-31T00:29:22-07:00
3,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1571616,2011,2026-07-31T00:29:22-07:00
4,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,142174,2023,2026-07-31T00:29:22-07:00
5,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,969191,2013,2026-07-31T00:29:22-07:00
6,Реинкарнация безработного: История о приключениях в другом мире,Mushoku Tensei: Isekai Ittara Honki Dasu,https://www.kinopoisk.ru/series/1312253/,8.2,117119,2021,2026-07-31T00:29:22-07:00
7,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.7,22516,2026,2026-07-31T00:29:22-07:00
8,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,320755,2022,2026-07-31T00:29:22-07:00
9,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,497613,2019,2026-07-31T00:29:22-07:00
10,Одиссей,The Odyssey,https://www.kinopoisk.ru/series/77183/,8.1,42179,1997,2026-07-31T00:29:22-07:00
11,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.5,25643,2026,2026-07-31T00:29:22-07:00
12,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,975781,2013,2026-07-31T00:29:22-07:00
13,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,314065,1999,2026-07-31T00:29:22-07:00
14,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,830150,2008,2026-07-31T00:29:22-07:00
15,Я тебя отыщу,I Will Find You,https://www.kinopoisk.ru/series/9349321/,7.1,19287,2026,2026-07-31T00:29:22-07:00
16,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,409785,2006,2026-07-31T00:29:22-07:00
17,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,721270,2015,2026-07-31T00:29:22-07:00
18,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1083550,2020,2026-07-31T00:29:22-07:00
19,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,416223,2011,2026-07-31T00:29:22-07:00
20,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,646254,2010,2026-07-31T00:29:22-07:00
21,Лаки,Lucky,https://www.kinopoisk.ru/series/6640984/,6.4,2967,2026,2026-07-31T00:29:22-07:00
22,Менталист,The Mentalist,https://www.kinopoisk.ru/series/412344/,8.1,186772,2008,2026-07-31T00:29:22-07:00
23,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.4,853990,2016,2026-07-31T00:29:22-07:00
24,56 дней,56 Days,https://www.kinopoisk.ru/series/7424942/,7.1,21268,2026,2026-07-31T00:29:22-07:00
25,Мыс страха,Cape Fear,https://www.kinopoisk.ru/series/6576642/,6.7,6896,2026,2026-07-31T00:29:22-07:00
26,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,210909,2018,2026-07-31T00:29:22-07:00
27,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.1,50428,2026,2026-07-31T00:29:22-07:00
28,Менеджер Ким,Kim bujang,https://www.kinopoisk.ru/series/9027270/,8.0,7297,2026,2026-07-31T00:29:22-07:00
29,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.1,115298,2026,2026-07-31T00:29:22-07:00
30,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,365706,1998,2026-07-31T00:29:22-07:00
31,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,421851,2004,2026-07-31T00:29:22-07:00
32,Тед Лассо,Ted Lasso,https://www.kinopoisk.ru/series/1309707/,8.5,141883,2020,2026-07-31T00:29:22-07:00
33,Ещё 17,Daha on Yedi,https://www.kinopoisk.ru/series/12588511/,8.2,7198,2026,2026-07-31T00:29:22-07:00
34,Закулисье,Backrooms,https://www.kinopoisk.ru/series/5129650/,7.4,7737,2022,2026-07-31T00:29:22-07:00
35,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,164959,2025,2026-07-31T00:29:22-07:00
36,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,282996,2018,2026-07-31T00:29:22-07:00
37,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.5,30098,2026,2026-07-31T00:29:22-07:00
38,Табакошка,Yani Neko,https://www.kinopoisk.ru/series/13136552/,7.7,562,2026,2026-07-31T00:29:22-07:00
39,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,647384,2005,2026-07-31T00:29:22-07:00
40,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,563748,2014,2026-07-31T00:29:22-07:00
41,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,231519,2015,2026-07-31T00:29:22-07:00
42,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,56669,2025,2026-07-31T00:29:22-07:00
43,Вместе до конца,Ride or Die,https://www.kinopoisk.ru/series/6739953/,7.5,530,2026,2026-07-31T00:29:22-07:00
44,Мечтаю о тебе,Geudaeege deurim,https://www.kinopoisk.ru/series/9178109/,,0,2026,2026-07-31T00:29:22-07:00
45,Тьма,Dark,https://www.kinopoisk.ru/series/1032606/,8.1,247663,2017,2026-07-31T00:29:22-07:00
46,Яростная,Furious,https://www.kinopoisk.ru/series/12946659/,,0,2026,2026-07-31T00:29:22-07:00
