rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,413262,2019,2026-06-07T00:03:04-07:00
2,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,472787,2019,2026-06-07T00:03:04-07:00
3,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.7,14867,2026,2026-06-07T00:03:04-07:00
4,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.2,28382,2026,2026-06-07T00:03:04-07:00
5,Закулисье,The Backrooms,https://www.kinopoisk.ru/series/5129650/,7.6,4378,2022,2026-06-07T00:03:04-07:00
6,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,293710,2022,2026-06-07T00:03:04-07:00
7,Черный двор. Побег,,https://www.kinopoisk.ru/series/12305098/,7.9,52880,2026,2026-06-07T00:03:04-07:00
8,Истинное образование,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,,0,2026,2026-06-07T00:03:04-07:00
9,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1534357,2011,2026-06-07T00:03:04-07:00
10,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.6,4735,2026,2026-06-07T00:03:04-07:00
11,Мыс страха,Cape Fear,https://www.kinopoisk.ru/series/6576642/,,0,2026,2026-06-07T00:03:04-07:00
12,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,188938,2018,2026-06-07T00:03:04-07:00
13,Черный двор,,https://www.kinopoisk.ru/series/5319979/,7.8,241566,2023,2026-06-07T00:03:04-07:00
14,Бороуз,The Boroughs,https://www.kinopoisk.ru/series/7385223/,7.2,5769,2026,2026-06-07T00:03:04-07:00
15,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.8,82578,2016,2026-06-07T00:03:04-07:00
16,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,954450,2013,2026-06-07T00:03:04-07:00
17,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,301568,1999,2026-06-07T00:03:04-07:00
18,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,394174,2006,2026-06-07T00:03:04-07:00
