rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,817886,2022,2026-07-03T00:03:03-07:00
2,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,309091,2022,2026-07-03T00:03:03-07:00
3,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,429108,2019,2026-07-03T00:03:03-07:00
4,Я тебя отыщу,I Will Find You,https://www.kinopoisk.ru/series/9349321/,7.1,9638,2026,2026-07-03T00:03:03-07:00
5,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,488973,2019,2026-07-03T00:03:03-07:00
6,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.5,15847,2026,2026-07-03T00:03:03-07:00
7,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1549639,2011,2026-07-03T00:03:03-07:00
8,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.8,16129,2026,2026-07-03T00:03:03-07:00
9,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,134666,2023,2026-07-03T00:03:03-07:00
10,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.1,43243,2026,2026-07-03T00:03:03-07:00
11,Черный двор. Побег,,https://www.kinopoisk.ru/series/12305098/,7.5,218211,2026,2026-07-03T00:03:03-07:00
12,Ателье колдовских колпаков,Tongari Boushi no Atelier,https://www.kinopoisk.ru/series/6802576/,8.8,48567,2026,2026-07-03T00:03:03-07:00
13,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,963281,2013,2026-07-03T00:03:03-07:00
14,Черный двор,,https://www.kinopoisk.ru/series/5319979/,7.8,276082,2023,2026-07-03T00:03:03-07:00
15,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,306826,1999,2026-07-03T00:03:03-07:00
16,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,161015,2025,2026-07-03T00:03:03-07:00
17,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1073220,2020,2026-07-03T00:03:03-07:00
18,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,821421,2008,2026-07-03T00:03:03-07:00
19,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,400904,2006,2026-07-03T00:03:03-07:00
20,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.5,25835,2026,2026-07-03T00:03:03-07:00
21,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,403691,2011,2026-07-03T00:03:03-07:00
22,Закулисье,Backrooms,https://www.kinopoisk.ru/series/5129650/,7.5,6545,2022,2026-07-03T00:03:03-07:00
23,Крестьянин 999 уровня,Lv999 no Murabito,https://www.kinopoisk.ru/series/13015920/,,0,2026,2026-07-03T00:03:03-07:00
24,Пылающее лето,Chi xia,https://www.kinopoisk.ru/series/12935649/,,0,2026,2026-07-03T00:03:03-07:00
25,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,955637,2013,2026-07-03T00:03:03-07:00
26,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.8,93965,2016,2026-07-03T00:03:03-07:00
27,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.4,847061,2016,2026-07-03T00:03:03-07:00
28,Эль,Elle,https://www.kinopoisk.ru/series/7530283/,,0,2026,2026-07-03T00:03:03-07:00
29,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,199424,2018,2026-07-03T00:03:03-07:00
30,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.1,110885,2026,2026-07-03T00:03:03-07:00
31,Мыс страха,Cape Fear,https://www.kinopoisk.ru/series/6576642/,6.9,3444,2026,2026-07-03T00:03:03-07:00
32,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,639625,2010,2026-07-03T00:03:03-07:00
33,Аватар: Легенда об Аанге,Avatar: The Last Airbender,https://www.kinopoisk.ru/series/1199731/,7.2,32712,2024,2026-07-03T00:03:03-07:00
34,Тьма,Dark,https://www.kinopoisk.ru/series/1032606/,8.1,244147,2017,2026-07-03T00:03:03-07:00
35,Менеджер Ким,Kim bujang,https://www.kinopoisk.ru/series/9027270/,,0,2026,2026-07-03T00:03:03-07:00
36,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,712229,2015,2026-07-03T00:03:03-07:00
37,Слабый герой,Yakhan yeongung,https://www.kinopoisk.ru/series/4857811/,8.4,307737,2022,2026-07-03T00:03:03-07:00
38,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,416223,2004,2026-07-03T00:03:03-07:00
39,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,54566,2025,2026-07-03T00:03:03-07:00
40,Получеловек,Half Man,https://www.kinopoisk.ru/series/7919289/,7.9,5810,2026,2026-07-03T00:03:03-07:00
41,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,228348,2015,2026-07-03T00:03:03-07:00
42,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,559975,2014,2026-07-03T00:03:03-07:00
43,Ранчо Даттонов,Dutton Ranch,https://www.kinopoisk.ru/series/7275308/,8.5,7479,2026,2026-07-03T00:03:03-07:00
44,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,640894,2005,2026-07-03T00:03:03-07:00
45,Том и Джерри,Tom and Jerry,https://www.kinopoisk.ru/series/1372775/,8.9,23257,1940,2026-07-03T00:03:03-07:00
46,Адский рай,Jigokuraku,https://www.kinopoisk.ru/series/4786341/,8.4,135708,2023,2026-07-03T00:03:03-07:00
47,Лимонные девочки,Shoujo Ramune,https://www.kinopoisk.ru/series/1433828/,8.1,52164,2016,2026-07-03T00:03:03-07:00
48,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,279686,2018,2026-07-03T00:03:03-07:00
49,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,421957,2022,2026-07-03T00:03:03-07:00
50,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,360439,1998,2026-07-03T00:03:03-07:00
