rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Стерлинг-Поинт,Sterling Point,https://www.kinopoisk.ru/series/11832286/,7.4,8119,2026,2026-08-25T00:03:03-07:00
2,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,152967,2023,2026-08-25T00:03:03-07:00
3,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1605496,2011,2026-08-25T00:03:03-07:00
4,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,871499,2022,2026-08-25T00:03:03-07:00
5,Реинкарнация безработного: История о приключениях в другом мире,Mushoku Tensei: Isekai Ittara Honki Dasu,https://www.kinopoisk.ru/series/1312253/,8.3,161487,2021,2026-08-25T00:03:03-07:00
6,Фонари,Lanterns,https://www.kinopoisk.ru/series/5253825/,7.6,1413,2026,2026-08-25T00:03:03-07:00
7,Менталист,The Mentalist,https://www.kinopoisk.ru/series/412344/,8.1,192263,2008,2026-08-25T00:03:03-07:00
8,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,742318,2015,2026-08-25T00:03:03-07:00
9,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,324048,1999,2026-08-25T00:03:03-07:00
10,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,1015535,2013,2026-08-25T00:03:03-07:00
11,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,992922,2013,2026-08-25T00:03:03-07:00
12,Лаки,Lucky,https://www.kinopoisk.ru/series/6640984/,6.4,7493,2026,2026-08-25T00:03:03-07:00
13,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,226206,2018,2026-08-25T00:03:03-07:00
14,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,461224,2019,2026-08-25T00:03:03-07:00
15,Осколки,The Shards,https://www.kinopoisk.ru/series/6531565/,6.3,2603,2026,2026-08-25T00:03:03-07:00
16,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,504609,2019,2026-08-25T00:03:03-07:00
17,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,422230,2006,2026-08-25T00:03:03-07:00
18,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,843754,2008,2026-08-25T00:03:03-07:00
19,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,433159,2011,2026-08-25T00:03:03-07:00
20,Каратель,The Punisher,https://www.kinopoisk.ru/series/978853/,7.8,67192,2017,2026-08-25T00:03:03-07:00
21,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,339884,2022,2026-08-25T00:03:03-07:00
22,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.3,860260,2016,2026-08-25T00:03:03-07:00
23,Джек Ричер,Reacher,https://www.kinopoisk.ru/series/1209839/,7.4,62900,2022,2026-08-25T00:03:03-07:00
24,Тед Лассо,Ted Lasso,https://www.kinopoisk.ru/series/1309707/,8.5,145150,2020,2026-08-25T00:03:03-07:00
25,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1102954,2020,2026-08-25T00:03:03-07:00
26,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,656223,2010,2026-08-25T00:03:03-07:00
27,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.5,30886,2026,2026-08-25T00:03:03-07:00
28,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.9,110166,2016,2026-08-25T00:03:03-07:00
29,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,567780,2014,2026-08-25T00:03:03-07:00
30,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,168268,2025,2026-08-25T00:03:03-07:00
31,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,371482,1998,2026-08-25T00:03:03-07:00
32,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.1,119748,2026,2026-08-25T00:03:03-07:00
33,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,431333,2004,2026-08-25T00:03:03-07:00
34,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.5,33579,2026,2026-08-25T00:03:03-07:00
