rank,title,url,score,votes,release_year,scraped_at
1,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,548408,2022,2026-07-21T00:03:03-07:00
2,The Hawk,https://www.imdb.com/title/tt27550719/,6.3,2630,2026,2026-07-21T00:03:03-07:00
3,Little House on the Prairie,https://www.imdb.com/title/tt2431250/,7.3,4456,2026,2026-07-21T00:03:03-07:00
4,Ride or Die,https://www.imdb.com/title/tt30494226/,7.6,3220,2026,2026-07-21T00:03:03-07:00
5,I Will Find You,https://www.imdb.com/title/tt34771210/,7.1,42991,2026,2026-07-21T00:03:03-07:00
6,Lucky,https://www.imdb.com/title/tt34866681/,6.5,1908,2026,2026-07-21T00:03:03-07:00
7,Silo,https://www.imdb.com/title/tt14688458/,8.1,221122,2023,2026-07-21T00:03:03-07:00
8,The Five-Star Weekend,https://www.imdb.com/title/tt35587659/,7.2,2118,2026,2026-07-21T00:03:03-07:00
9,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.2,52569,2026,2026-07-21T00:03:03-07:00
10,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2636893,2011,2026-07-21T00:03:03-07:00
11,Cape Fear,https://www.imdb.com/title/tt34675596/,6.8,8996,2026,2026-07-21T00:03:03-07:00
12,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.3,18763,2026,2026-07-21T00:03:03-07:00
13,The Bear,https://www.imdb.com/title/tt14452776/,8.5,317477,2022,2026-07-21T00:03:03-07:00
14,Agent Kim Reactivated,https://www.imdb.com/title/tt42127457/,7.9,2614,2026,2026-07-21T00:03:03-07:00
15,Off Campus,https://www.imdb.com/title/tt33546863/,7.9,44941,2026,2026-07-21T00:03:03-07:00
16,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,702649,2013,2026-07-21T00:03:03-07:00
17,The Odyssey,https://www.imdb.com/title/tt0118414/,7.1,19520,1997,2026-07-21T00:03:03-07:00
18,From,https://www.imdb.com/title/tt9813792/,7.8,199474,2022,2026-07-21T00:03:03-07:00
19,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,235866,2008,2026-07-21T00:03:03-07:00
20,The East Palace,https://www.imdb.com/title/tt35051401/,7.6,1162,2026,2026-07-21T00:03:03-07:00
21,Avatar: The Last Airbender,https://www.imdb.com/title/tt9018736/,7.1,90394,2024,2026-07-21T00:03:03-07:00
22,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2645059,2008,2026-07-21T00:03:03-07:00
23,Elle,https://www.imdb.com/title/tt32020831/,6.9,5456,2026,2026-07-21T00:03:03-07:00
24,The Westies,https://www.imdb.com/title/tt31849235/,7.1,684,2026,2026-07-21T00:03:03-07:00
25,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,450414,2020,2026-07-21T00:03:03-07:00
26,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,160236,2025,2026-07-21T00:03:03-07:00
27,Maximum Pleasure Guaranteed,https://www.imdb.com/title/tt35946742/,7.3,5887,2026,2026-07-21T00:03:03-07:00
28,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,131257,2018,2026-07-21T00:03:03-07:00
29,"Life, Larry and the Pursuit of Unhappiness: an Almost History of America",https://www.imdb.com/title/tt37543147/,6.5,2592,2026,2026-07-21T00:03:03-07:00
30,Heroes,https://www.imdb.com/title/tt0813715/,7.5,261758,2006,2026-07-21T00:03:03-07:00
31,Criminal Minds,https://www.imdb.com/title/tt0452046/,8.1,241031,2005,2026-07-21T00:03:03-07:00
32,The Boys,https://www.imdb.com/title/tt1190634/,8.5,1009374,2019,2026-07-21T00:03:03-07:00
33,Ann Droid,https://www.imdb.com/title/tt37788031/,7.5,635,2026,2026-07-21T00:03:03-07:00
34,Sugar,https://www.imdb.com/title/tt16418808/,7.4,46022,2024,2026-07-21T00:03:03-07:00
35,The Dark,https://www.imdb.com/title/tt37510653/,6.6,521,2026,2026-07-21T00:03:03-07:00
36,Euphoria,https://www.imdb.com/title/tt8772296/,8.1,318737,2019,2026-07-21T00:03:03-07:00
37,The Agency,https://www.imdb.com/title/tt26656917/,7.5,32439,2024,2026-07-21T00:03:03-07:00
38,X-Men '97,https://www.imdb.com/title/tt16026746/,8.7,55884,2024,2026-07-21T00:03:03-07:00
39,Supernatural,https://www.imdb.com/title/tt0460681/,8.4,543508,2005,2026-07-21T00:03:03-07:00
40,The Sopranos,https://www.imdb.com/title/tt0141842/,9.2,586937,1999,2026-07-21T00:03:03-07:00
41,Yellowstone,https://www.imdb.com/title/tt4236770/,8.6,316437,2018,2026-07-21T00:03:03-07:00
42,The Vampire Lestat,https://www.imdb.com/title/tt3960394/,7.6,42348,2022,2026-07-21T00:03:03-07:00
43,The Boroughs,https://www.imdb.com/title/tt27557289/,7.3,34343,2026,2026-07-21T00:03:03-07:00
44,A Knight of the Seven Kingdoms,https://www.imdb.com/title/tt27497448/,8.6,267027,2026,2026-07-21T00:03:03-07:00
45,The Walking Dead,https://www.imdb.com/title/tt1520211/,8.1,1204398,2010,2026-07-21T00:03:03-07:00
46,The Shards,https://www.imdb.com/title/tt27543562/,,0,2026,2026-07-21T00:03:03-07:00
47,Little House on the Prairie,https://www.imdb.com/title/tt0071007/,7.6,30812,1974,2026-07-21T00:03:03-07:00
48,Attack on Titan,https://www.imdb.com/title/tt2560140/,9.1,731432,2013,2026-07-21T00:03:03-07:00
49,Dark Winds,https://www.imdb.com/title/tt15017118/,7.7,34314,2022,2026-07-21T00:03:03-07:00
50,Stranger Things,https://www.imdb.com/title/tt4574334/,8.6,1718508,2016,2026-07-21T00:03:03-07:00
