rank,title,url,score,votes,release_year,scraped_at
1,The Gentlemen,https://www.imdb.com/title/tt13210838/,8.0,186766,2024,2026-09-08T00:03:02-07:00
2,Silo,https://www.imdb.com/title/tt14688458/,8.1,236829,2023,2026-09-08T00:03:02-07:00
3,Lanterns,https://www.imdb.com/title/tt26545992/,7.8,26330,2026,2026-09-08T00:03:02-07:00
4,Reacher,https://www.imdb.com/title/tt9288030/,8.0,310925,2022,2026-09-08T00:03:02-07:00
5,Furious,https://www.imdb.com/title/tt36303968/,7.9,18638,2026,2026-09-08T00:03:02-07:00
6,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,463677,2020,2026-09-08T00:03:02-07:00
7,Bleach: Thousand-Year Blood War,https://www.imdb.com/title/tt14986406/,9.0,112131,2022,2026-09-08T00:03:02-07:00
8,East of Eden,https://www.imdb.com/title/tt21097264/,,0,2026,2026-09-08T00:03:02-07:00
9,Lioness,https://www.imdb.com/title/tt13111078/,7.8,96265,2023,2026-09-08T00:03:02-07:00
10,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,247478,2008,2026-09-08T00:03:02-07:00
11,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2659101,2011,2026-09-08T00:03:02-07:00
12,Harry Potter,https://www.imdb.com/title/tt13918446/,,0,2026,2026-09-08T00:03:02-07:00
13,Dark Matter,https://www.imdb.com/title/tt19231492/,7.6,78754,2024,2026-09-08T00:03:02-07:00
14,Chad Powers,https://www.imdb.com/title/tt31449991/,7.5,16804,2025,2026-09-08T00:03:02-07:00
15,Adults,https://www.imdb.com/title/tt33049767/,7.6,11375,2025,2026-09-08T00:03:02-07:00
16,Star Trek: Strange New Worlds,https://www.imdb.com/title/tt12327578/,8.2,78674,2022,2026-09-08T00:03:02-07:00
17,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,567941,2022,2026-09-08T00:03:02-07:00
18,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2672520,2008,2026-09-08T00:03:02-07:00
19,The Shards,https://www.imdb.com/title/tt27543562/,6.0,4116,2026,2026-09-08T00:03:02-07:00
20,Re: Zero - Starting Life in Another World,https://www.imdb.com/title/tt5607616/,8.3,90960,2016,2026-09-08T00:03:02-07:00
21,Slow Horses,https://www.imdb.com/title/tt5875444/,8.3,154823,2022,2026-09-08T00:03:02-07:00
22,Sterling Point,https://www.imdb.com/title/tt35618070/,7.4,14232,2026,2026-09-08T00:03:02-07:00
23,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,134989,2018,2026-09-08T00:03:02-07:00
24,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.1,74485,2026,2026-09-08T00:03:02-07:00
25,MobLand,https://www.imdb.com/title/tt31510819/,8.3,122920,2025,2026-09-08T00:03:02-07:00
26,Stuart Fails to Save the Universe,https://www.imdb.com/title/tt27497393/,7.1,8197,2026,2026-09-08T00:03:02-07:00
27,Outer Banks,https://www.imdb.com/title/tt10293938/,7.5,113931,2020,2026-09-08T00:03:02-07:00
