rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,833609,2022,2026-07-23T00:03:03-07:00
2,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,139947,2023,2026-07-23T00:03:03-07:00
3,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,437851,2019,2026-07-23T00:03:03-07:00
4,Реинкарнация безработного: История о приключениях в другом мире,Mushoku Tensei: Isekai Ittara Honki Dasu,https://www.kinopoisk.ru/series/1312253/,8.1,103680,2021,2026-07-23T00:03:03-07:00
5,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1563908,2011,2026-07-23T00:03:03-07:00
6,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,963277,2013,2026-07-23T00:03:03-07:00
7,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,315864,2022,2026-07-23T00:03:03-07:00
8,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.5,22998,2026,2026-07-23T00:03:03-07:00
9,Лаки,Lucky,https://www.kinopoisk.ru/series/6640984/,6.5,1621,2026,2026-07-23T00:03:03-07:00
10,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,495324,2019,2026-07-23T00:03:03-07:00
11,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,311231,1999,2026-07-23T00:03:03-07:00
12,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,971411,2013,2026-07-23T00:03:03-07:00
13,Я тебя отыщу,I Will Find You,https://www.kinopoisk.ru/series/9349321/,7.1,16703,2026,2026-07-23T00:03:03-07:00
14,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.7,20508,2026,2026-07-23T00:03:03-07:00
15,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,826210,2008,2026-07-23T00:03:03-07:00
16,Одиссей,The Odyssey,https://www.kinopoisk.ru/series/77183/,8.1,40856,1997,2026-07-23T00:03:03-07:00
17,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,207965,2018,2026-07-23T00:03:03-07:00
18,Закулисье,Backrooms,https://www.kinopoisk.ru/series/5129650/,7.5,7404,2022,2026-07-23T00:03:03-07:00
