rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,422210,2019,2026-06-19T00:03:03-07:00
2,Я тебя отыщу,I Will Find You,https://www.kinopoisk.ru/series/9349321/,,0,2026,2026-06-19T00:03:03-07:00
3,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,482773,2019,2026-06-19T00:03:03-07:00
4,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.6,7975,2026,2026-06-19T00:03:03-07:00
5,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,300094,2022,2026-06-19T00:03:03-07:00
6,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.2,36687,2026,2026-06-19T00:03:03-07:00
7,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.8,10817,2026,2026-06-19T00:03:03-07:00
8,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.8,88875,2016,2026-06-19T00:03:03-07:00
9,Черный двор. Побег,,https://www.kinopoisk.ru/series/12305098/,7.6,165187,2026,2026-06-19T00:03:03-07:00
10,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.6,21964,2026,2026-06-19T00:03:03-07:00
11,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1541372,2011,2026-06-19T00:03:03-07:00
12,Закулисье,Backrooms,https://www.kinopoisk.ru/series/5129650/,7.5,5813,2022,2026-06-19T00:03:03-07:00
13,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,958525,2013,2026-06-19T00:03:03-07:00
14,Ателье колдовских колпаков,Tongari Boushi no Atelier,https://www.kinopoisk.ru/series/6802576/,8.9,40730,2026,2026-06-19T00:03:03-07:00
15,Черный двор,,https://www.kinopoisk.ru/series/5319979/,7.8,260980,2023,2026-06-19T00:03:03-07:00
16,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,303902,1999,2026-06-19T00:03:03-07:00
17,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,397450,2006,2026-06-19T00:03:03-07:00
18,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,804004,2022,2026-06-19T00:03:03-07:00
19,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1068818,2020,2026-06-19T00:03:03-07:00
20,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,398311,2011,2026-06-19T00:03:03-07:00
21,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,818415,2008,2026-06-19T00:03:03-07:00
22,Лимонные девочки,Shoujo Ramune,https://www.kinopoisk.ru/series/1433828/,8.1,50606,2016,2026-06-19T00:03:03-07:00
23,Военный повар становится легендой,Chwisabyeong jeonseoli doeda,https://www.kinopoisk.ru/series/8425589/,8.3,5825,2026,2026-06-19T00:03:03-07:00
24,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,192847,2018,2026-06-19T00:03:03-07:00
25,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,952902,2013,2026-06-19T00:03:03-07:00
26,Бороуз,The Boroughs,https://www.kinopoisk.ru/series/7385223/,7.2,7881,2026,2026-06-19T00:03:03-07:00
27,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.4,843549,2016,2026-06-19T00:03:03-07:00
28,Каждый год после,Every Year After,https://www.kinopoisk.ru/series/11827840/,6.6,2153,2026,2026-06-19T00:03:03-07:00
29,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,637004,2010,2026-06-19T00:03:03-07:00
30,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,708581,2015,2026-06-19T00:03:03-07:00
31,Мыс страха,Cape Fear,https://www.kinopoisk.ru/series/6576642/,7.1,1949,2026,2026-06-19T00:03:03-07:00
32,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,418563,2022,2026-06-19T00:03:03-07:00
33,Ночная сказка,Bir Gece Masali,https://www.kinopoisk.ru/series/6157707/,7.9,22231,2024,2026-06-19T00:03:03-07:00
34,Слабый герой,Yakhan yeongung,https://www.kinopoisk.ru/series/4857811/,8.4,302495,2022,2026-06-19T00:03:03-07:00
35,Получеловек,Half Man,https://www.kinopoisk.ru/series/7919289/,7.9,4005,2026,2026-06-19T00:03:03-07:00
36,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,159478,2025,2026-06-19T00:03:03-07:00
37,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,278224,2018,2026-06-19T00:03:03-07:00
38,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,638772,2005,2026-06-19T00:03:03-07:00
39,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,414110,2004,2026-06-19T00:03:03-07:00
40,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,358410,1998,2026-06-19T00:03:03-07:00
41,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,133282,2023,2026-06-19T00:03:03-07:00
42,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,53641,2025,2026-06-19T00:03:03-07:00
43,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,558295,2014,2026-06-19T00:03:03-07:00
44,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.1,108711,2026,2026-06-19T00:03:03-07:00
45,Детство Шелдона,Young Sheldon,https://www.kinopoisk.ru/series/1040419/,8.8,543583,2017,2026-06-19T00:03:03-07:00
46,Адский рай,Jigokuraku,https://www.kinopoisk.ru/series/4786341/,8.4,132353,2023,2026-06-19T00:03:03-07:00
47,Гачиакута,Gachiakuta,https://www.kinopoisk.ru/series/7524629/,8.5,317964,2025,2026-06-19T00:03:03-07:00
48,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,227113,2015,2026-06-19T00:03:03-07:00
49,Далёкий город,Uzak Sehir,https://www.kinopoisk.ru/series/6553560/,8.4,171191,2024,2026-06-19T00:03:03-07:00
50,Острые козырьки,Peaky Blinders,https://www.kinopoisk.ru/series/716587/,8.3,586235,2013,2026-06-19T00:03:03-07:00
