rank,title,url,score,votes,release_year,scraped_at
1,Spider-Noir,https://www.imdb.com/title/tt30460310/,8.0,31273,2026,2026-06-08T00:03:03-07:00
2,Off Campus,https://www.imdb.com/title/tt33546863/,8.0,27784,2026,2026-06-08T00:03:03-07:00
3,Cape Fear,https://www.imdb.com/title/tt34675596/,7.2,1447,2026,2026-06-08T00:03:03-07:00
4,The Boroughs,https://www.imdb.com/title/tt27557289/,7.4,20953,2026,2026-06-08T00:03:03-07:00
5,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.3,14544,2026,2026-06-08T00:03:03-07:00
6,Euphoria,https://www.imdb.com/title/tt8772296/,8.1,312235,2019,2026-06-08T00:03:03-07:00
7,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.4,8136,2026,2026-06-08T00:03:03-07:00
8,The Boys,https://www.imdb.com/title/tt1190634/,8.5,989556,2019,2026-06-08T00:03:03-07:00
9,From,https://www.imdb.com/title/tt9813792/,7.8,187412,2022,2026-06-08T00:03:03-07:00
10,Lucky,https://www.imdb.com/title/tt34866681/,,0,2026,2026-06-08T00:03:03-07:00
11,Your Friends & Neighbors,https://www.imdb.com/title/tt30459041/,7.7,58311,2025,2026-06-08T00:03:03-07:00
12,The Four Seasons,https://www.imdb.com/title/tt30826447/,7.2,40914,2025,2026-06-08T00:03:03-07:00
13,The Witness,https://www.imdb.com/title/tt31631015/,6.6,1099,2026,2026-06-08T00:03:03-07:00
14,Not Suitable for Work,https://www.imdb.com/title/tt35823838/,6.6,715,2026,2026-06-08T00:03:03-07:00
15,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2622217,2011,2026-06-08T00:03:03-07:00
16,Re: Zero - Starting Life in Another World,https://www.imdb.com/title/tt5607616/,8.2,53537,2016,2026-06-08T00:03:03-07:00
17,Among Us,https://www.imdb.com/title/tt28230655/,7.3,654,2026,2026-06-08T00:03:03-07:00
18,Legends,https://www.imdb.com/title/tt33265765/,7.9,17213,2026,2026-06-08T00:03:03-07:00
19,Rivals,https://www.imdb.com/title/tt21906238/,7.9,18623,2024,2026-06-08T00:03:03-07:00
