rank,title,url,score,votes,release_year,scraped_at
1,The Gentlemen,https://www.imdb.com/title/tt13210838/,8.0,188546,2024,2026-09-10T00:03:03-07:00
2,Silo,https://www.imdb.com/title/tt14688458/,8.1,237745,2023,2026-09-10T00:03:03-07:00
3,Lanterns,https://www.imdb.com/title/tt26545992/,7.8,28017,2026,2026-09-10T00:03:03-07:00
4,Reacher,https://www.imdb.com/title/tt9288030/,8.0,311400,2022,2026-09-10T00:03:03-07:00
5,Furious,https://www.imdb.com/title/tt36303968/,7.9,19884,2026,2026-09-10T00:03:03-07:00
6,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,464037,2020,2026-09-10T00:03:03-07:00
7,Bleach: Thousand-Year Blood War,https://www.imdb.com/title/tt14986406/,9.0,112396,2022,2026-09-10T00:03:03-07:00
8,East of Eden,https://www.imdb.com/title/tt21097264/,,0,2026,2026-09-10T00:03:03-07:00
9,Lioness,https://www.imdb.com/title/tt13111078/,7.8,96616,2023,2026-09-10T00:03:03-07:00
10,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,247914,2008,2026-09-10T00:03:03-07:00
11,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2659743,2011,2026-09-10T00:03:03-07:00
12,Harry Potter,https://www.imdb.com/title/tt13918446/,,0,2026,2026-09-10T00:03:03-07:00
13,Dark Matter,https://www.imdb.com/title/tt19231492/,7.6,78957,2024,2026-09-10T00:03:03-07:00
14,Chad Powers,https://www.imdb.com/title/tt31449991/,7.5,17120,2025,2026-09-10T00:03:03-07:00
15,Adults,https://www.imdb.com/title/tt33049767/,7.6,11592,2025,2026-09-10T00:03:03-07:00
16,Star Trek: Strange New Worlds,https://www.imdb.com/title/tt12327578/,8.2,78767,2022,2026-09-10T00:03:03-07:00
17,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,568280,2022,2026-09-10T00:03:03-07:00
18,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2673347,2008,2026-09-10T00:03:03-07:00
19,The Shards,https://www.imdb.com/title/tt27543562/,6.0,4250,2026,2026-09-10T00:03:03-07:00
20,Re: Zero - Starting Life in Another World,https://www.imdb.com/title/tt5607616/,8.3,91700,2016,2026-09-10T00:03:03-07:00
21,Slow Horses,https://www.imdb.com/title/tt5875444/,8.3,155098,2022,2026-09-10T00:03:03-07:00
