rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,157069,2023,2026-08-30T00:03:03-07:00
2,Менталист,The Mentalist,https://www.kinopoisk.ru/series/412344/,8.1,194400,2008,2026-08-30T00:03:03-07:00
3,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1617454,2011,2026-08-30T00:03:03-07:00
4,Стерлинг-Поинт,Sterling Point,https://www.kinopoisk.ru/series/11832286/,7.3,10005,2026,2026-08-30T00:03:03-07:00
5,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,747947,2015,2026-08-30T00:03:03-07:00
6,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,881464,2022,2026-08-30T00:03:03-07:00
7,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,464381,2019,2026-08-30T00:03:03-07:00
8,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,230862,2018,2026-08-30T00:03:03-07:00
9,Тёмная материя,Dark Matter,https://www.kinopoisk.ru/series/5024113/,7.7,67326,2024,2026-08-30T00:03:03-07:00
10,Реинкарнация безработного: История о приключениях в другом мире,Mushoku Tensei: Isekai Ittara Honki Dasu,https://www.kinopoisk.ru/series/1312253/,8.2,173468,2021,2026-08-30T00:03:03-07:00
11,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,1038487,2013,2026-08-30T00:03:03-07:00
12,Фонари,Lanterns,https://www.kinopoisk.ru/series/5253825/,7.6,2075,2026,2026-08-30T00:03:03-07:00
13,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,997144,2013,2026-08-30T00:03:03-07:00
14,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,327122,1999,2026-08-30T00:03:03-07:00
15,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,847809,2008,2026-08-30T00:03:03-07:00
16,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,425009,2006,2026-08-30T00:03:03-07:00
17,Джек Ричер,Reacher,https://www.kinopoisk.ru/series/1209839/,7.4,63708,2022,2026-08-30T00:03:03-07:00
18,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.3,861500,2016,2026-08-30T00:03:03-07:00
19,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,340681,2022,2026-08-30T00:03:03-07:00
20,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,659726,2010,2026-08-30T00:03:03-07:00
21,Яростная,Furious,https://www.kinopoisk.ru/series/12946659/,7.6,1619,2026,2026-08-30T00:03:03-07:00
22,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,506227,2019,2026-08-30T00:03:03-07:00
23,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1111928,2020,2026-08-30T00:03:03-07:00
24,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,439175,2011,2026-08-30T00:03:03-07:00
25,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,373062,1998,2026-08-30T00:03:03-07:00
26,Тед Лассо,Ted Lasso,https://www.kinopoisk.ru/series/1309707/,8.5,145628,2020,2026-08-30T00:03:03-07:00
27,Осколки,The Shards,https://www.kinopoisk.ru/series/6531565/,6.3,3046,2026,2026-08-30T00:03:03-07:00
28,Каратель,The Punisher,https://www.kinopoisk.ru/series/978853/,7.8,67802,2017,2026-08-30T00:03:03-07:00
29,Монолог фармацевта,Kusuriya no Hitorigoto,https://www.kinopoisk.ru/series/5258557/,8.8,90763,2023,2026-08-30T00:03:03-07:00
30,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.5,31613,2026,2026-08-30T00:03:03-07:00
31,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,168941,2025,2026-08-30T00:03:03-07:00
32,Лаки,Lucky,https://www.kinopoisk.ru/series/6640984/,6.4,8525,2026,2026-08-30T00:03:03-07:00
33,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.9,112823,2016,2026-08-30T00:03:03-07:00
34,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,568725,2014,2026-08-30T00:03:03-07:00
35,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,58689,2025,2026-08-30T00:03:03-07:00
36,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.6,28008,2026,2026-08-30T00:03:03-07:00
37,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.5,34193,2026,2026-08-30T00:03:03-07:00
38,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,435117,2004,2026-08-30T00:03:03-07:00
39,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,678160,2005,2026-08-30T00:03:03-07:00
40,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,286536,2018,2026-08-30T00:03:03-07:00
41,Джентльмены,The Gentlemen,https://www.kinopoisk.ru/series/1435343/,7.8,85870,2024,2026-08-30T00:03:03-07:00
42,Ателье колдовских колпаков,Tongari Boushi no Atelier,https://www.kinopoisk.ru/series/6802576/,8.6,78373,2026,2026-08-30T00:03:03-07:00
43,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.1,120545,2026,2026-08-30T00:03:03-07:00
44,Детство Шелдона,Young Sheldon,https://www.kinopoisk.ru/series/1040419/,8.8,566745,2017,2026-08-30T00:03:03-07:00
45,Закулисье,Backrooms,https://www.kinopoisk.ru/series/5129650/,7.4,8504,2022,2026-08-30T00:03:03-07:00
46,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,235913,2015,2026-08-30T00:03:03-07:00
47,Я тебя отыщу,I Will Find You,https://www.kinopoisk.ru/series/9349321/,7.0,27254,2026,2026-08-30T00:03:03-07:00
48,Чернобыль,Chernobyl,https://www.kinopoisk.ru/series/1227803/,8.7,827031,2019,2026-08-30T00:03:03-07:00
49,Тьма,Dark,https://www.kinopoisk.ru/series/1032606/,8.1,251128,2017,2026-08-30T00:03:03-07:00
50,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.1,55627,2026,2026-08-30T00:03:03-07:00
