rank,title,url,score,votes,release_year,scraped_at
1,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,544769,2022,2026-07-13T00:03:03-07:00
2,Little House on the Prairie,https://www.imdb.com/title/tt2431250/,7.0,1803,2026,2026-07-13T00:03:03-07:00
3,I Will Find You,https://www.imdb.com/title/tt34771210/,7.1,36118,2026,2026-07-13T00:03:03-07:00
4,Silo,https://www.imdb.com/title/tt14688458/,8.1,219305,2023,2026-07-13T00:03:03-07:00
5,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.3,16700,2026,2026-07-13T00:03:03-07:00
6,The Five-Star Weekend,https://www.imdb.com/title/tt35587659/,7.2,782,2026,2026-07-13T00:03:03-07:00
7,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.2,47680,2026,2026-07-13T00:03:03-07:00
8,The Bear,https://www.imdb.com/title/tt14452776/,8.5,316122,2022,2026-07-13T00:03:03-07:00
9,Cape Fear,https://www.imdb.com/title/tt34675596/,6.8,7592,2026,2026-07-13T00:03:03-07:00
10,From,https://www.imdb.com/title/tt9813792/,7.8,197853,2022,2026-07-13T00:03:03-07:00
11,Elle,https://www.imdb.com/title/tt32020831/,6.9,4006,2026,2026-07-13T00:03:03-07:00
12,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2633529,2011,2026-07-13T00:03:03-07:00
13,Avatar: The Last Airbender,https://www.imdb.com/title/tt9018736/,7.1,89539,2024,2026-07-13T00:03:03-07:00
14,Off Campus,https://www.imdb.com/title/tt33546863/,7.9,43015,2026,2026-07-13T00:03:03-07:00
15,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,701496,2013,2026-07-13T00:03:03-07:00
16,Agent Kim Reactivated,https://www.imdb.com/title/tt42127457/,7.9,1610,2026,2026-07-13T00:03:03-07:00
17,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,234574,2008,2026-07-13T00:03:03-07:00
18,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2641097,2008,2026-07-13T00:03:03-07:00
19,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,158826,2025,2026-07-13T00:03:03-07:00
20,"Life, Larry and the Pursuit of Unhappiness: an Almost History of America",https://www.imdb.com/title/tt37543147/,6.6,2026,2026,2026-07-13T00:03:03-07:00
21,X-Men '97,https://www.imdb.com/title/tt16026746/,8.7,55293,2024,2026-07-13T00:03:03-07:00
22,The Agency,https://www.imdb.com/title/tt26656917/,7.5,31718,2024,2026-07-13T00:03:03-07:00
23,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,449303,2020,2026-07-13T00:03:03-07:00
24,The Boys,https://www.imdb.com/title/tt1190634/,8.5,1006498,2019,2026-07-13T00:03:03-07:00
25,Dark Winds,https://www.imdb.com/title/tt15017118/,7.7,33994,2022,2026-07-13T00:03:03-07:00
26,Heroes,https://www.imdb.com/title/tt0813715/,7.5,261127,2006,2026-07-13T00:03:03-07:00
27,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,130723,2018,2026-07-13T00:03:03-07:00
28,Pritam Pedro,https://www.imdb.com/title/tt28077038/,7.9,7134,2026,2026-07-13T00:03:03-07:00
29,Criminal Minds,https://www.imdb.com/title/tt0452046/,8.1,240775,2005,2026-07-13T00:03:03-07:00
30,Yellowstone,https://www.imdb.com/title/tt4236770/,8.6,315723,2018,2026-07-13T00:03:03-07:00
31,A Knight of the Seven Kingdoms,https://www.imdb.com/title/tt27497448/,8.6,263710,2026,2026-07-13T00:03:03-07:00
32,Sugar,https://www.imdb.com/title/tt16418808/,7.4,45489,2024,2026-07-13T00:03:03-07:00
33,Supernatural,https://www.imdb.com/title/tt0460681/,8.4,542920,2005,2026-07-13T00:03:03-07:00
34,The Vampire Lestat,https://www.imdb.com/title/tt3960394/,7.6,41783,2022,2026-07-13T00:03:03-07:00
35,Star City,https://www.imdb.com/title/tt32140872/,7.4,3926,2026,2026-07-13T00:03:03-07:00
36,Little House on the Prairie,https://www.imdb.com/title/tt0071007/,7.5,30592,1974,2026-07-13T00:03:03-07:00
37,MobLand,https://www.imdb.com/title/tt31510819/,8.3,117477,2025,2026-07-13T00:03:03-07:00
38,Euphoria,https://www.imdb.com/title/tt8772296/,8.1,317803,2019,2026-07-13T00:03:03-07:00
39,The Sopranos,https://www.imdb.com/title/tt0141842/,9.2,585895,1999,2026-07-13T00:03:03-07:00
40,The Boroughs,https://www.imdb.com/title/tt27557289/,7.3,33008,2026,2026-07-13T00:03:03-07:00
41,Spider-Noir,https://www.imdb.com/title/tt30460310/,7.8,55386,2026,2026-07-13T00:03:03-07:00
42,Maximum Pleasure Guaranteed,https://www.imdb.com/title/tt35946742/,7.3,3814,2026,2026-07-13T00:03:03-07:00
43,Landman,https://www.imdb.com/title/tt14186672/,8.2,111162,2024,2026-07-13T00:03:03-07:00
44,Attack on Titan,https://www.imdb.com/title/tt2560140/,9.1,729642,2013,2026-07-13T00:03:03-07:00
45,The Walking Dead,https://www.imdb.com/title/tt1520211/,8.1,1203214,2010,2026-07-13T00:03:03-07:00
46,Stranger Things,https://www.imdb.com/title/tt4574334/,8.6,1715941,2016,2026-07-13T00:03:03-07:00
47,The Office,https://www.imdb.com/title/tt0386676/,9.0,839317,2005,2026-07-13T00:03:03-07:00
48,Law & Order: Special Victims Unit,https://www.imdb.com/title/tt0203259/,8.1,145823,1999,2026-07-13T00:03:03-07:00
49,Better Call Saul,https://www.imdb.com/title/tt3032476/,9.0,846991,2015,2026-07-13T00:03:03-07:00
50,Emergency!,https://www.imdb.com/title/tt0068067/,7.9,7198,1972,2026-07-13T00:03:03-07:00
51,Your Friends & Neighbors,https://www.imdb.com/title/tt30459041/,7.7,62308,2025,2026-07-13T00:03:03-07:00
52,The Last Ship,https://www.imdb.com/title/tt2402207/,7.4,69685,2014,2026-07-13T00:03:03-07:00
53,Seeking Persephone,https://www.imdb.com/title/tt29666911/,7.6,3452,2026,2026-07-13T00:03:03-07:00
54,Sullivan's Crossing,https://www.imdb.com/title/tt21064598/,7.1,9708,2023,2026-07-13T00:03:03-07:00
55,The White Lotus,https://www.imdb.com/title/tt13406094/,8.0,328717,2021,2026-07-13T00:03:03-07:00
