rank,title,url,score,votes,release_year,scraped_at
1,The Gentlemen,https://www.imdb.com/title/tt13210838/,8.0,194865,2024,2026-09-18T00:03:03-07:00
2,Silo,https://www.imdb.com/title/tt14688458/,8.1,240890,2023,2026-09-18T00:03:03-07:00
3,Lanterns,https://www.imdb.com/title/tt26545992/,7.8,34968,2026,2026-09-18T00:03:03-07:00
4,Reacher,https://www.imdb.com/title/tt9288030/,8.0,314235,2022,2026-09-18T00:03:03-07:00
5,Bleach: Thousand-Year Blood War,https://www.imdb.com/title/tt14986406/,9.0,114220,2022,2026-09-18T00:03:03-07:00
6,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,465581,2020,2026-09-18T00:03:03-07:00
7,Lioness,https://www.imdb.com/title/tt13111078/,7.8,98087,2023,2026-09-18T00:03:03-07:00
8,Furious,https://www.imdb.com/title/tt36303968/,7.9,23852,2026,2026-09-18T00:03:03-07:00
9,Crew Girl,https://www.imdb.com/title/tt38218082/,6.6,1871,2026,2026-09-18T00:03:03-07:00
10,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,249686,2008,2026-09-18T00:03:03-07:00
11,Last Seen,https://www.imdb.com/title/tt6037988/,7.4,925,2026,2026-09-18T00:03:03-07:00
12,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2662431,2011,2026-09-18T00:03:03-07:00
13,Slow Horses,https://www.imdb.com/title/tt5875444/,8.3,156317,2022,2026-09-18T00:03:03-07:00
14,MobLand,https://www.imdb.com/title/tt31510819/,8.3,124416,2025,2026-09-18T00:03:03-07:00
15,Dark Matter,https://www.imdb.com/title/tt19231492/,7.6,79779,2024,2026-09-18T00:03:03-07:00
16,Below,https://www.imdb.com/title/tt35934755/,7.6,105,2026,2026-09-18T00:03:03-07:00
17,Star Trek: Strange New Worlds,https://www.imdb.com/title/tt12327578/,8.2,79194,2022,2026-09-18T00:03:03-07:00
18,Re: Zero - Starting Life in Another World,https://www.imdb.com/title/tt5607616/,8.3,94480,2016,2026-09-18T00:03:03-07:00
19,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.1,78654,2026,2026-09-18T00:03:03-07:00
20,The Shards,https://www.imdb.com/title/tt27543562/,6.0,5770,2026,2026-09-18T00:03:03-07:00
21,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2676863,2008,2026-09-18T00:03:03-07:00
22,Fauda,https://www.imdb.com/title/tt4565380/,8.3,45380,2015,2026-09-18T00:03:03-07:00
23,The Perfect Lie,https://www.imdb.com/title/tt37439410/,6.6,1204,2026,2026-09-18T00:03:03-07:00
24,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,569555,2022,2026-09-18T00:03:03-07:00
25,Chad Powers,https://www.imdb.com/title/tt31449991/,7.6,17953,2025,2026-09-18T00:03:03-07:00
26,The Sopranos,https://www.imdb.com/title/tt0141842/,9.2,596293,1999,2026-09-18T00:03:03-07:00
27,Ludwig,https://www.imdb.com/title/tt27846061/,8.1,25131,2024,2026-09-18T00:03:03-07:00
28,American Horror Story,https://www.imdb.com/title/tt1844624/,7.9,364868,2011,2026-09-18T00:03:03-07:00
29,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,135571,2018,2026-09-18T00:03:03-07:00
30,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,170243,2025,2026-09-18T00:03:03-07:00
31,Stuart Fails to Save the Universe,https://www.imdb.com/title/tt27497393/,7.1,9202,2026,2026-09-18T00:03:03-07:00
32,Adults,https://www.imdb.com/title/tt33049767/,7.6,12283,2025,2026-09-18T00:03:03-07:00
33,Sterling Point,https://www.imdb.com/title/tt35618070/,7.4,15642,2026,2026-09-18T00:03:03-07:00
34,Band of Brothers,https://www.imdb.com/title/tt0185906/,9.4,604668,2001,2026-09-18T00:03:03-07:00
35,Supernatural,https://www.imdb.com/title/tt0460681/,8.4,548073,2005,2026-09-18T00:03:03-07:00
36,The Walking Dead,https://www.imdb.com/title/tt1520211/,8.1,1213987,2010,2026-09-18T00:03:03-07:00
37,The Paper,https://www.imdb.com/title/tt32159809/,6.9,15121,2025,2026-09-18T00:03:03-07:00
38,Attack on Titan,https://www.imdb.com/title/tt2560140/,9.1,747272,2013,2026-09-18T00:03:03-07:00
39,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,712528,2013,2026-09-18T00:03:03-07:00
40,True Detective,https://www.imdb.com/title/tt2356777/,8.8,770353,2014,2026-09-18T00:03:03-07:00
41,The Pendragon Cycle: Rise of the Merlin,https://www.imdb.com/title/tt23734948/,6.2,4978,2026,2026-09-18T00:03:03-07:00
42,Harry Potter,https://www.imdb.com/title/tt13918446/,,0,2026,2026-09-18T00:03:03-07:00
43,It's Always Sunny in Philadelphia,https://www.imdb.com/title/tt0472954/,8.8,284974,2005,2026-09-18T00:03:03-07:00
44,Better Call Saul,https://www.imdb.com/title/tt3032476/,9.0,863996,2015,2026-09-18T00:03:03-07:00
45,SEAL Team,https://www.imdb.com/title/tt6473344/,7.9,41346,2017,2026-09-18T00:03:03-07:00
46,The Drop: A Snowfall Saga,https://www.imdb.com/title/tt36210894/,6.8,421,2026,2026-09-18T00:03:03-07:00
47,Tires,https://www.imdb.com/title/tt31491435/,7.7,26126,2024,2026-09-18T00:03:03-07:00
48,The Office,https://www.imdb.com/title/tt0386676/,9.0,850194,2005,2026-09-18T00:03:03-07:00
49,Severance,https://www.imdb.com/title/tt11280740/,8.6,406484,2022,2026-09-18T00:03:03-07:00
50,Colin from Accounts,https://www.imdb.com/title/tt18228732/,8.0,16751,2022,2026-09-18T00:03:03-07:00
51,Criminal Minds,https://www.imdb.com/title/tt0452046/,8.1,243024,2005,2026-09-18T00:03:03-07:00
52,Off Campus,https://www.imdb.com/title/tt33546863/,7.8,55155,2026,2026-09-18T00:03:03-07:00
53,Paradise,https://www.imdb.com/title/tt27444205/,7.9,89633,2025,2026-09-18T00:03:03-07:00
54,Outer Banks,https://www.imdb.com/title/tt10293938/,7.5,114613,2020,2026-09-18T00:03:03-07:00
55,I Will Find You,https://www.imdb.com/title/tt34771210/,7.1,64775,2026,2026-09-18T00:03:03-07:00
56,The White Lotus,https://www.imdb.com/title/tt13406094/,8.0,334359,2021,2026-09-18T00:03:03-07:00
