rank,title,url,score,votes,release_year,scraped_at
1,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,559186,2022,2026-08-12T00:03:03-07:00
2,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,455750,2020,2026-08-12T00:03:03-07:00
3,Sterling Point,https://www.imdb.com/title/tt35618070/,7.4,3914,2026,2026-08-12T00:03:03-07:00
4,Silo,https://www.imdb.com/title/tt14688458/,8.1,226559,2023,2026-08-12T00:03:03-07:00
5,Furious,https://www.imdb.com/title/tt36303968/,7.6,4342,2026,2026-08-12T00:03:03-07:00
6,The Shards,https://www.imdb.com/title/tt27543562/,5.8,1384,2026,2026-08-12T00:03:03-07:00
7,Lioness,https://www.imdb.com/title/tt13111078/,7.8,91277,2023,2026-08-12T00:03:03-07:00
8,Alley Cats,https://www.imdb.com/title/tt38264832/,6.7,3763,2026,2026-08-12T00:03:03-07:00
9,The Bombing of Pan Am 103,https://www.imdb.com/title/tt13592494/,7.5,5889,2025,2026-08-12T00:03:03-07:00
10,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2647286,2011,2026-08-12T00:03:03-07:00
11,Lucky,https://www.imdb.com/title/tt34866681/,6.6,5671,2026,2026-08-12T00:03:03-07:00
12,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,240743,2008,2026-08-12T00:03:03-07:00
13,Ride or Die,https://www.imdb.com/title/tt30494226/,7.6,11728,2026,2026-08-12T00:03:03-07:00
14,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.1,64101,2026,2026-08-12T00:03:03-07:00
15,Sugar,https://www.imdb.com/title/tt16418808/,7.4,48149,2024,2026-08-12T00:03:03-07:00
16,I Will Find You,https://www.imdb.com/title/tt34771210/,7.1,55790,2026,2026-08-12T00:03:03-07:00
17,Anna Pigeon,https://www.imdb.com/title/tt36937503/,5.9,361,2026,2026-08-12T00:03:03-07:00
18,My Life with the Walter Boys,https://www.imdb.com/title/tt8323628/,6.8,27307,2023,2026-08-12T00:03:03-07:00
19,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,132985,2018,2026-08-12T00:03:03-07:00
20,Stuart Fails to Save the Universe,https://www.imdb.com/title/tt27497393/,7.1,4473,2026,2026-08-12T00:03:03-07:00
21,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2657445,2008,2026-08-12T00:03:03-07:00
22,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,707088,2013,2026-08-12T00:03:03-07:00
23,Cape Fear,https://www.imdb.com/title/tt34675596/,6.7,18286,2026,2026-08-12T00:03:03-07:00
24,Reacher,https://www.imdb.com/title/tt9288030/,8.0,301019,2022,2026-08-12T00:03:03-07:00
