rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,834138,2022,2026-07-24T00:03:03-07:00
2,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,438207,2019,2026-07-24T00:03:03-07:00
3,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,140220,2023,2026-07-24T00:03:03-07:00
4,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1564666,2011,2026-07-24T00:03:03-07:00
5,Реинкарнация безработного: История о приключениях в другом мире,Mushoku Tensei: Isekai Ittara Honki Dasu,https://www.kinopoisk.ru/series/1312253/,8.1,104632,2021,2026-07-24T00:03:03-07:00
6,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,963733,2013,2026-07-24T00:03:03-07:00
7,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,316089,2022,2026-07-24T00:03:03-07:00
8,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.5,23265,2026,2026-07-24T00:03:03-07:00
9,Лаки,Lucky,https://www.kinopoisk.ru/series/6640984/,6.4,1836,2026,2026-07-24T00:03:03-07:00
10,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,495577,2019,2026-07-24T00:03:03-07:00
11,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,311466,1999,2026-07-24T00:03:03-07:00
12,Я тебя отыщу,I Will Find You,https://www.kinopoisk.ru/series/9349321/,7.1,16913,2026,2026-07-24T00:03:03-07:00
13,Одиссей,The Odyssey,https://www.kinopoisk.ru/series/77183/,8.1,40989,1997,2026-07-24T00:03:03-07:00
14,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,971836,2013,2026-07-24T00:03:03-07:00
15,Мыс страха,Cape Fear,https://www.kinopoisk.ru/series/6576642/,6.7,5881,2026,2026-07-24T00:03:03-07:00
16,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,826459,2008,2026-07-24T00:03:03-07:00
17,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.7,20702,2026,2026-07-24T00:03:03-07:00
18,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,208239,2018,2026-07-24T00:03:03-07:00
19,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,412510,2011,2026-07-24T00:03:03-07:00
20,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1080558,2020,2026-07-24T00:03:03-07:00
21,Закулисье,Backrooms,https://www.kinopoisk.ru/series/5129650/,7.5,7446,2022,2026-07-24T00:03:03-07:00
22,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.1,48766,2026,2026-07-24T00:03:03-07:00
23,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,406061,2006,2026-07-24T00:03:03-07:00
24,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.4,852223,2016,2026-07-24T00:03:03-07:00
25,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,643974,2010,2026-07-24T00:03:03-07:00
26,Табакошка,Yani Neko,https://www.kinopoisk.ru/series/13136552/,7.8,430,2026,2026-07-24T00:03:03-07:00
27,Вместе до конца,Ride or Die,https://www.kinopoisk.ru/series/6739953/,7.3,187,2026,2026-07-24T00:03:03-07:00
28,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,718631,2015,2026-07-24T00:03:03-07:00
29,Тед Лассо,Ted Lasso,https://www.kinopoisk.ru/series/1309707/,8.5,141158,2020,2026-07-24T00:03:03-07:00
30,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,364143,1998,2026-07-24T00:03:03-07:00
31,Менталист,The Mentalist,https://www.kinopoisk.ru/series/412344/,8.1,185586,2008,2026-07-24T00:03:03-07:00
32,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.1,114177,2026,2026-07-24T00:03:03-07:00
33,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,164023,2025,2026-07-24T00:03:03-07:00
34,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,282042,2018,2026-07-24T00:03:03-07:00
35,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,419563,2004,2026-07-24T00:03:03-07:00
36,Менеджер Ким,Kim bujang,https://www.kinopoisk.ru/series/9027270/,7.9,5716,2026,2026-07-24T00:03:03-07:00
37,Призрак в доспехах,Koukaku Kidoutai,https://www.kinopoisk.ru/series/11195100/,7.5,20707,2026,2026-07-24T00:03:03-07:00
38,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,230422,2015,2026-07-24T00:03:03-07:00
39,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,644320,2005,2026-07-24T00:03:03-07:00
40,Ателье колдовских колпаков,Tongari Boushi no Atelier,https://www.kinopoisk.ru/series/6802576/,8.7,61172,2026,2026-07-24T00:03:03-07:00
