rank,title,url,score,votes,release_year,scraped_at
1,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,560757,2022,2026-08-15T00:04:25-07:00
2,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,456716,2020,2026-08-15T00:04:25-07:00
3,Sterling Point,https://www.imdb.com/title/tt35618070/,7.4,5605,2026,2026-08-15T00:04:25-07:00
4,Silo,https://www.imdb.com/title/tt14688458/,8.1,227231,2023,2026-08-15T00:04:25-07:00
5,Furious,https://www.imdb.com/title/tt36303968/,7.6,4972,2026,2026-08-15T00:04:25-07:00
6,The Shards,https://www.imdb.com/title/tt27543562/,5.8,1812,2026,2026-08-15T00:04:25-07:00
7,Lioness,https://www.imdb.com/title/tt13111078/,7.8,91789,2023,2026-08-15T00:04:25-07:00
8,Alley Cats,https://www.imdb.com/title/tt38264832/,6.8,4832,2026,2026-08-15T00:04:25-07:00
9,The Bombing of Pan Am 103,https://www.imdb.com/title/tt13592494/,7.5,6538,2025,2026-08-15T00:04:25-07:00
10,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2648573,2011,2026-08-15T00:04:25-07:00
11,Lucky,https://www.imdb.com/title/tt34866681/,6.6,6194,2026,2026-08-15T00:04:25-07:00
12,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,241461,2008,2026-08-15T00:04:25-07:00
13,Ride or Die,https://www.imdb.com/title/tt30494226/,7.6,12311,2026,2026-08-15T00:04:25-07:00
14,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.1,65210,2026,2026-08-15T00:04:25-07:00
15,Sugar,https://www.imdb.com/title/tt16418808/,7.4,48449,2024,2026-08-15T00:04:25-07:00
16,I Will Find You,https://www.imdb.com/title/tt34771210/,7.1,56651,2026,2026-08-15T00:04:25-07:00
17,Anna Pigeon,https://www.imdb.com/title/tt36937503/,5.8,445,2026,2026-08-15T00:04:25-07:00
18,My Life with the Walter Boys,https://www.imdb.com/title/tt8323628/,6.8,27505,2023,2026-08-15T00:04:25-07:00
19,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,133230,2018,2026-08-15T00:04:25-07:00
20,Stuart Fails to Save the Universe,https://www.imdb.com/title/tt27497393/,7.1,4906,2026,2026-08-15T00:04:25-07:00
21,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2659040,2008,2026-08-15T00:04:25-07:00
22,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,707538,2013,2026-08-15T00:04:25-07:00
23,Cape Fear,https://www.imdb.com/title/tt34675596/,6.7,18916,2026,2026-08-15T00:04:25-07:00
24,Reacher,https://www.imdb.com/title/tt9288030/,8.0,302286,2022,2026-08-15T00:04:25-07:00
25,Best Medicine,https://www.imdb.com/title/tt36885662/,6.7,5514,2026,2026-08-15T00:04:25-07:00
26,The Bear,https://www.imdb.com/title/tt14452776/,8.5,321601,2022,2026-08-15T00:04:25-07:00
27,The Punisher,https://www.imdb.com/title/tt5675620/,8.4,310949,2017,2026-08-15T00:04:25-07:00
