rank,title,url,score,votes,release_year,scraped_at
1,Spider-Noir,https://www.imdb.com/title/tt30460310/,8.0,34346,2026,2026-06-10T00:03:03-07:00
2,Off Campus,https://www.imdb.com/title/tt33546863/,8.0,29041,2026,2026-06-10T00:03:03-07:00
3,Cape Fear,https://www.imdb.com/title/tt34675596/,7.2,1961,2026,2026-06-10T00:03:03-07:00
4,The Boroughs,https://www.imdb.com/title/tt27557289/,7.3,22335,2026,2026-06-10T00:03:03-07:00
5,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.3,15598,2026,2026-06-10T00:03:03-07:00
6,Euphoria,https://www.imdb.com/title/tt8772296/,8.1,312822,2019,2026-06-10T00:03:03-07:00
7,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.4,8491,2026,2026-06-10T00:03:03-07:00
8,The Boys,https://www.imdb.com/title/tt1190634/,8.5,991252,2019,2026-06-10T00:03:03-07:00
9,From,https://www.imdb.com/title/tt9813792/,7.8,188039,2022,2026-06-10T00:03:03-07:00
10,Lucky,https://www.imdb.com/title/tt34866681/,,0,2026,2026-06-10T00:03:03-07:00
11,Your Friends & Neighbors,https://www.imdb.com/title/tt30459041/,7.7,58642,2025,2026-06-10T00:03:03-07:00
12,The Four Seasons,https://www.imdb.com/title/tt30826447/,7.2,41220,2025,2026-06-10T00:03:03-07:00
13,The Witness,https://www.imdb.com/title/tt31631015/,6.5,1599,2026,2026-06-10T00:03:03-07:00
14,Not Suitable for Work,https://www.imdb.com/title/tt35823838/,6.6,930,2026,2026-06-10T00:03:03-07:00
15,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2622801,2011,2026-06-10T00:03:03-07:00
16,Re: Zero - Starting Life in Another World,https://www.imdb.com/title/tt5607616/,8.2,53779,2016,2026-06-10T00:03:03-07:00
17,Among Us,https://www.imdb.com/title/tt28230655/,7.3,1108,2026,2026-06-10T00:03:03-07:00
18,Legends,https://www.imdb.com/title/tt33265765/,7.9,17754,2026,2026-06-10T00:03:03-07:00
19,Rivals,https://www.imdb.com/title/tt21906238/,7.9,18738,2024,2026-06-10T00:03:03-07:00
20,Teach You a Lesson,https://www.imdb.com/title/tt34809853/,8.7,2443,2026,2026-06-10T00:03:03-07:00
