rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,155649,2023,2026-08-28T00:03:01-07:00
2,Стерлинг-Поинт,Sterling Point,https://www.kinopoisk.ru/series/11832286/,7.4,9291,2026,2026-08-28T00:03:01-07:00
3,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1613776,2011,2026-08-28T00:03:01-07:00
4,Менталист,The Mentalist,https://www.kinopoisk.ru/series/412344/,8.1,193547,2008,2026-08-28T00:03:01-07:00
5,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,746227,2015,2026-08-28T00:03:01-07:00
6,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,878404,2022,2026-08-28T00:03:01-07:00
7,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,463424,2019,2026-08-28T00:03:01-07:00
8,Фонари,Lanterns,https://www.kinopoisk.ru/series/5253825/,7.6,1845,2026,2026-08-28T00:03:01-07:00
9,Реинкарнация безработного: История о приключениях в другом мире,Mushoku Tensei: Isekai Ittara Honki Dasu,https://www.kinopoisk.ru/series/1312253/,8.2,170461,2021,2026-08-28T00:03:01-07:00
10,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,1032421,2013,2026-08-28T00:03:01-07:00
11,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.9,112194,2016,2026-08-28T00:03:01-07:00
12,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,326127,1999,2026-08-28T00:03:01-07:00
13,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,995805,2013,2026-08-28T00:03:01-07:00
14,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,505687,2019,2026-08-28T00:03:01-07:00
15,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,437362,2011,2026-08-28T00:03:01-07:00
16,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,229205,2018,2026-08-28T00:03:01-07:00
17,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,846621,2008,2026-08-28T00:03:01-07:00
18,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,424135,2006,2026-08-28T00:03:01-07:00
19,Джек Ричер,Reacher,https://www.kinopoisk.ru/series/1209839/,7.4,63411,2022,2026-08-28T00:03:01-07:00
20,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,340376,2022,2026-08-28T00:03:01-07:00
21,Осколки,The Shards,https://www.kinopoisk.ru/series/6531565/,6.3,2894,2026,2026-08-28T00:03:01-07:00
22,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.3,861015,2016,2026-08-28T00:03:01-07:00
23,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,658607,2010,2026-08-28T00:03:01-07:00
24,Тед Лассо,Ted Lasso,https://www.kinopoisk.ru/series/1309707/,8.5,145459,2020,2026-08-28T00:03:01-07:00
25,Лаки,Lucky,https://www.kinopoisk.ru/series/6640984/,6.4,8198,2026,2026-08-28T00:03:01-07:00
26,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1109228,2020,2026-08-28T00:03:01-07:00
27,Каратель,The Punisher,https://www.kinopoisk.ru/series/978853/,7.8,67554,2017,2026-08-28T00:03:01-07:00
28,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,568363,2014,2026-08-28T00:03:01-07:00
29,Кровавое жертвоприношение,Blodsoffer,https://www.kinopoisk.ru/series/9232305/,,0,2026,2026-08-28T00:03:01-07:00
30,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,433996,2004,2026-08-28T00:03:01-07:00
31,Монолог фармацевта,Kusuriya no Hitorigoto,https://www.kinopoisk.ru/series/5258557/,8.8,90604,2023,2026-08-28T00:03:01-07:00
32,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.5,31322,2026,2026-08-28T00:03:01-07:00
33,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,168682,2025,2026-08-28T00:03:01-07:00
34,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,58543,2025,2026-08-28T00:03:01-07:00
35,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.6,27740,2026,2026-08-28T00:03:01-07:00
36,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.5,33960,2026,2026-08-28T00:03:01-07:00
37,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.1,120226,2026,2026-08-28T00:03:01-07:00
38,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,675391,2005,2026-08-28T00:03:01-07:00
39,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,286333,2018,2026-08-28T00:03:01-07:00
40,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,235623,2015,2026-08-28T00:03:01-07:00
41,Переполненная комната,The Crowded Room,https://www.kinopoisk.ru/series/4424478/,7.9,51588,2023,2026-08-28T00:03:01-07:00
42,Закулисье,Backrooms,https://www.kinopoisk.ru/series/5129650/,7.3,8431,2022,2026-08-28T00:03:01-07:00
43,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,372443,1998,2026-08-28T00:03:01-07:00
44,Детство Шелдона,Young Sheldon,https://www.kinopoisk.ru/series/1040419/,8.8,565971,2017,2026-08-28T00:03:01-07:00
45,Чёрное зеркало,Black Mirror,https://www.kinopoisk.ru/series/655800/,8.5,430957,2011,2026-08-28T00:03:01-07:00
46,Внешние отмели,Outer Banks,https://www.kinopoisk.ru/series/1264562/,7.7,32279,2020,2026-08-28T00:03:01-07:00
47,Святой Паисий. Из Фарасы на небеса,Agios Paisios: Apo ta Farasa ston ourano,https://www.kinopoisk.ru/series/4860668/,9.4,11945,2022,2026-08-28T00:03:01-07:00
48,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.1,55336,2026,2026-08-28T00:03:01-07:00
49,Тёмная материя,Dark Matter,https://www.kinopoisk.ru/series/5024113/,7.7,67103,2024,2026-08-28T00:03:01-07:00
50,Ганнибал,Hannibal,https://www.kinopoisk.ru/series/682468/,8.1,337689,2013,2026-08-28T00:03:01-07:00
