rank,title,url,score,votes,release_year,scraped_at
1,Off Campus,https://www.imdb.com/title/tt33546863/,8.0,35022,2026,2026-06-21T00:03:03-07:00
2,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.3,27537,2026,2026-06-21T00:03:03-07:00
3,Cape Fear,https://www.imdb.com/title/tt34675596/,7.0,4117,2026,2026-06-21T00:03:03-07:00
4,From,https://www.imdb.com/title/tt9813792/,7.8,190409,2022,2026-06-21T00:03:03-07:00
5,Spider-Noir,https://www.imdb.com/title/tt30460310/,7.9,44908,2026,2026-06-21T00:03:03-07:00
6,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.4,10212,2026,2026-06-21T00:03:03-07:00
7,Every Year After,https://www.imdb.com/title/tt33055254/,6.3,3425,2026,2026-06-21T00:03:03-07:00
8,The Boroughs,https://www.imdb.com/title/tt27557289/,7.3,27734,2026,2026-06-21T00:03:03-07:00
9,Teach You a Lesson,https://www.imdb.com/title/tt34809853/,8.6,8482,2026,2026-06-21T00:03:03-07:00
10,The Boys,https://www.imdb.com/title/tt1190634/,8.5,997489,2019,2026-06-21T00:03:03-07:00
11,Euphoria,https://www.imdb.com/title/tt8772296/,8.1,314845,2019,2026-06-21T00:03:03-07:00
12,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2625867,2011,2026-06-21T00:03:03-07:00
13,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,531100,2022,2026-06-21T00:03:03-07:00
14,Your Friends & Neighbors,https://www.imdb.com/title/tt30459041/,7.7,60031,2025,2026-06-21T00:03:03-07:00
15,The Four Seasons,https://www.imdb.com/title/tt30826447/,7.2,42530,2025,2026-06-21T00:03:03-07:00
16,The Witness,https://www.imdb.com/title/tt31631015/,6.5,3143,2026,2026-06-21T00:03:03-07:00
17,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,155344,2025,2026-06-21T00:03:03-07:00
18,Legends,https://www.imdb.com/title/tt33265765/,7.9,20019,2026,2026-06-21T00:03:03-07:00
