rank,title,url,score,votes,release_year,scraped_at
1,Lanterns,https://www.imdb.com/title/tt26545992/,8.0,16002,2026,2026-08-30T00:03:03-07:00
2,Reacher,https://www.imdb.com/title/tt9288030/,8.0,308439,2022,2026-08-30T00:03:03-07:00
3,Bleach: Thousand-Year Blood War,https://www.imdb.com/title/tt14986406/,9.0,108847,2022,2026-08-30T00:03:03-07:00
4,Silo,https://www.imdb.com/title/tt14688458/,8.1,231438,2023,2026-08-30T00:03:03-07:00
5,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,461520,2020,2026-08-30T00:03:03-07:00
6,Furious,https://www.imdb.com/title/tt36303968/,7.8,9720,2026,2026-08-30T00:03:03-07:00
7,Outer Banks,https://www.imdb.com/title/tt10293938/,7.5,112890,2020,2026-08-30T00:03:03-07:00
8,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,566119,2022,2026-08-30T00:03:03-07:00
9,Sterling Point,https://www.imdb.com/title/tt35618070/,7.4,12121,2026,2026-08-30T00:03:03-07:00
10,Lioness,https://www.imdb.com/title/tt13111078/,7.8,94714,2023,2026-08-30T00:03:03-07:00
11,Tires,https://www.imdb.com/title/tt31491435/,7.7,24571,2024,2026-08-30T00:03:03-07:00
12,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,167151,2025,2026-08-30T00:03:03-07:00
13,Lucky,https://www.imdb.com/title/tt34866681/,6.7,13304,2026,2026-08-30T00:03:03-07:00
14,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2655535,2011,2026-08-30T00:03:03-07:00
15,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,245283,2008,2026-08-30T00:03:03-07:00
16,Blood Sacrifice,https://www.imdb.com/title/tt38553367/,6.3,3547,2026,2026-08-30T00:03:03-07:00
17,The Shards,https://www.imdb.com/title/tt27543562/,6.0,3423,2026,2026-08-30T00:03:03-07:00
18,Re: Zero - Starting Life in Another World,https://www.imdb.com/title/tt5607616/,8.3,88576,2016,2026-08-30T00:03:03-07:00
19,Heroes,https://www.imdb.com/title/tt0813715/,7.5,264814,2006,2026-08-30T00:03:03-07:00
20,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.1,71430,2026,2026-08-30T00:03:03-07:00
21,Slow Horses,https://www.imdb.com/title/tt5875444/,8.3,153777,2022,2026-08-30T00:03:03-07:00
22,Star Trek: Strange New Worlds,https://www.imdb.com/title/tt12327578/,8.2,78174,2022,2026-08-30T00:03:03-07:00
23,My Brilliant Career,https://www.imdb.com/title/tt37352716/,7.0,2609,2026,2026-08-30T00:03:03-07:00
24,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2668163,2008,2026-08-30T00:03:03-07:00
25,Ludwig,https://www.imdb.com/title/tt27846061/,8.1,24195,2024,2026-08-30T00:03:03-07:00
26,Stuart Fails to Save the Universe,https://www.imdb.com/title/tt27497393/,7.1,7196,2026,2026-08-30T00:03:03-07:00
27,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,134378,2018,2026-08-30T00:03:03-07:00
28,I Will Find You,https://www.imdb.com/title/tt34771210/,7.1,61158,2026,2026-08-30T00:03:03-07:00
29,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,710210,2013,2026-08-30T00:03:03-07:00
30,The Sopranos,https://www.imdb.com/title/tt0141842/,9.2,593782,1999,2026-08-30T00:03:03-07:00
31,Ride or Die,https://www.imdb.com/title/tt30494226/,7.5,14750,2026,2026-08-30T00:03:03-07:00
32,The Bombing of Pan Am 103,https://www.imdb.com/title/tt13592494/,7.5,9139,2025,2026-08-30T00:03:03-07:00
33,It's Always Sunny in Philadelphia,https://www.imdb.com/title/tt0472954/,8.8,284298,2005,2026-08-30T00:03:03-07:00
34,SEAL Team,https://www.imdb.com/title/tt6473344/,7.9,40605,2017,2026-08-30T00:03:03-07:00
35,The Gentlemen,https://www.imdb.com/title/tt13210838/,8.0,182309,2024,2026-08-30T00:03:03-07:00
36,The Bear,https://www.imdb.com/title/tt14452776/,8.5,323839,2022,2026-08-30T00:03:03-07:00
37,Off Campus,https://www.imdb.com/title/tt33546863/,7.8,52684,2026,2026-08-30T00:03:03-07:00
38,The Walking Dead,https://www.imdb.com/title/tt1520211/,8.1,1211368,2010,2026-08-30T00:03:03-07:00
39,Stranger Things,https://www.imdb.com/title/tt4574334/,8.6,1734196,2016,2026-08-30T00:03:03-07:00
40,Operation Safed Sagar,https://www.imdb.com/title/tt36643714/,8.6,6075,2026,2026-08-30T00:03:03-07:00
41,Supernatural,https://www.imdb.com/title/tt0460681/,8.4,546751,2005,2026-08-30T00:03:03-07:00
42,Best Medicine,https://www.imdb.com/title/tt36885662/,6.7,6205,2026,2026-08-30T00:03:03-07:00
43,Attack on Titan,https://www.imdb.com/title/tt2560140/,9.1,742935,2013,2026-08-30T00:03:03-07:00
44,Better Call Saul,https://www.imdb.com/title/tt3032476/,9.0,859792,2015,2026-08-30T00:03:03-07:00
