rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Джентльмены,The Gentlemen,https://www.kinopoisk.ru/series/1435343/,7.9,95081,2024,2026-09-21T00:03:01-07:00
2,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,174062,2025,2026-09-21T00:03:01-07:00
3,Реинкарнация безработного: История о приключениях в другом мире,Mushoku Tensei: Isekai Ittara Honki Dasu,https://www.kinopoisk.ru/series/1312253/,8.3,211815,2021,2026-09-21T00:03:01-07:00
4,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1656478,2011,2026-09-21T00:03:01-07:00
5,Монстры,Monster,https://www.kinopoisk.ru/series/1435087/,7.4,101287,2022,2026-09-21T00:03:01-07:00
6,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,1010598,2013,2026-09-21T00:03:01-07:00
7,Менталист,The Mentalist,https://www.kinopoisk.ru/series/412344/,8.1,204377,2008,2026-09-21T00:03:01-07:00
8,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,763441,2015,2026-09-21T00:03:01-07:00
9,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,172004,2023,2026-09-21T00:03:01-07:00
10,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.5,36070,2026,2026-09-21T00:03:01-07:00
11,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,442492,2022,2026-09-21T00:03:01-07:00
12,Фонари,Lanterns,https://www.kinopoisk.ru/series/5253825/,7.6,5339,2026,2026-09-21T00:03:01-07:00
13,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,337198,1999,2026-09-21T00:03:01-07:00
14,Джек Ричер,Reacher,https://www.kinopoisk.ru/series/1209839/,7.4,66630,2022,2026-09-21T00:03:01-07:00
15,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,245832,2018,2026-09-21T00:03:01-07:00
16,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,907741,2022,2026-09-21T00:03:01-07:00
17,Тёмная материя,Dark Matter,https://www.kinopoisk.ru/series/5024113/,7.7,69655,2024,2026-09-21T00:03:01-07:00
18,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,862623,2008,2026-09-21T00:03:01-07:00
19,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,1077799,2013,2026-09-21T00:03:01-07:00
20,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,434734,2006,2026-09-21T00:03:01-07:00
21,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,457423,2011,2026-09-21T00:03:01-07:00
22,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,472457,2019,2026-09-21T00:03:01-07:00
23,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,511277,2019,2026-09-21T00:03:01-07:00
24,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,671653,2010,2026-09-21T00:03:01-07:00
25,Тед Лассо,Ted Lasso,https://www.kinopoisk.ru/series/1309707/,8.5,147774,2020,2026-09-21T00:03:01-07:00
26,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,572600,2014,2026-09-21T00:03:01-07:00
27,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.3,865891,2016,2026-09-21T00:03:01-07:00
28,Медленные лошади,Slow Horses,https://www.kinopoisk.ru/series/1331649/,7.9,44166,2022,2026-09-21T00:03:01-07:00
29,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,60226,2025,2026-09-21T00:03:01-07:00
30,Нили,Neagley,https://www.kinopoisk.ru/series/9168581/,,0,2026,2026-09-21T00:03:01-07:00
31,Третий лишний,Ted,https://www.kinopoisk.ru/series/4475348/,7.5,13219,2024,2026-09-21T00:03:01-07:00
32,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.9,125209,2016,2026-09-21T00:03:01-07:00
33,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1135963,2020,2026-09-21T00:03:01-07:00
