rank,title,url,score,votes,release_year,scraped_at
1,Lanterns,https://www.imdb.com/title/tt26545992/,8.0,11857,2026,2026-08-25T00:03:03-07:00
2,Reacher,https://www.imdb.com/title/tt9288030/,8.0,306619,2022,2026-08-25T00:03:03-07:00
3,Bleach: Thousand-Year Blood War,https://www.imdb.com/title/tt14986406/,9.0,98843,2022,2026-08-25T00:03:03-07:00
4,Silo,https://www.imdb.com/title/tt14688458/,8.1,229851,2023,2026-08-25T00:03:03-07:00
5,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,460115,2020,2026-08-25T00:03:03-07:00
6,Furious,https://www.imdb.com/title/tt36303968/,7.8,8012,2026,2026-08-25T00:03:03-07:00
7,Outer Banks,https://www.imdb.com/title/tt10293938/,7.5,111846,2020,2026-08-25T00:03:03-07:00
8,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,564818,2022,2026-08-25T00:03:03-07:00
9,Sterling Point,https://www.imdb.com/title/tt35618070/,7.4,10527,2026,2026-08-25T00:03:03-07:00
10,Lioness,https://www.imdb.com/title/tt13111078/,7.8,93849,2023,2026-08-25T00:03:03-07:00
11,Tires,https://www.imdb.com/title/tt31491435/,7.7,23898,2024,2026-08-25T00:03:03-07:00
12,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,166290,2025,2026-08-25T00:03:03-07:00
13,Lucky,https://www.imdb.com/title/tt34866681/,6.7,11486,2026,2026-08-25T00:03:03-07:00
14,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2653450,2011,2026-08-25T00:03:03-07:00
15,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,243984,2008,2026-08-25T00:03:03-07:00
16,Blood Sacrifice,https://www.imdb.com/title/tt38553367/,6.3,1875,2026,2026-08-25T00:03:03-07:00
17,The Shards,https://www.imdb.com/title/tt27543562/,5.9,2960,2026,2026-08-25T00:03:03-07:00
18,Re: Zero - Starting Life in Another World,https://www.imdb.com/title/tt5607616/,8.3,84281,2016,2026-08-25T00:03:03-07:00
19,Heroes,https://www.imdb.com/title/tt0813715/,7.5,264411,2006,2026-08-25T00:03:03-07:00
20,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.1,69581,2026,2026-08-25T00:03:03-07:00
21,Slow Horses,https://www.imdb.com/title/tt5875444/,8.3,153222,2022,2026-08-25T00:03:03-07:00
22,Star Trek: Strange New Worlds,https://www.imdb.com/title/tt12327578/,8.2,77868,2022,2026-08-25T00:03:03-07:00
23,My Brilliant Career,https://www.imdb.com/title/tt37352716/,7.0,2091,2026,2026-08-25T00:03:03-07:00
24,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2665326,2008,2026-08-25T00:03:03-07:00
25,Ludwig,https://www.imdb.com/title/tt27846061/,8.1,23877,2024,2026-08-25T00:03:03-07:00
26,Stuart Fails to Save the Universe,https://www.imdb.com/title/tt27497393/,7.2,6481,2026,2026-08-25T00:03:03-07:00
27,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,134021,2018,2026-08-25T00:03:03-07:00
28,I Will Find You,https://www.imdb.com/title/tt34771210/,7.1,59914,2026,2026-08-25T00:03:03-07:00
29,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,709372,2013,2026-08-25T00:03:03-07:00
30,The Sopranos,https://www.imdb.com/title/tt0141842/,9.2,592969,1999,2026-08-25T00:03:03-07:00
31,Ride or Die,https://www.imdb.com/title/tt30494226/,7.6,14123,2026,2026-08-25T00:03:03-07:00
32,The Bombing of Pan Am 103,https://www.imdb.com/title/tt13592494/,7.5,8534,2025,2026-08-25T00:03:03-07:00
33,It's Always Sunny in Philadelphia,https://www.imdb.com/title/tt0472954/,8.8,284036,2005,2026-08-25T00:03:03-07:00
34,SEAL Team,https://www.imdb.com/title/tt6473344/,7.9,40366,2017,2026-08-25T00:03:03-07:00
35,The Gentlemen,https://www.imdb.com/title/tt13210838/,8.0,181739,2024,2026-08-25T00:03:03-07:00
36,The Bear,https://www.imdb.com/title/tt14452776/,8.5,323152,2022,2026-08-25T00:03:03-07:00
37,Off Campus,https://www.imdb.com/title/tt33546863/,7.8,51864,2026,2026-08-25T00:03:03-07:00
38,The Walking Dead,https://www.imdb.com/title/tt1520211/,8.1,1210561,2010,2026-08-25T00:03:03-07:00
39,Stranger Things,https://www.imdb.com/title/tt4574334/,8.6,1732427,2016,2026-08-25T00:03:03-07:00
40,Operation Safed Sagar,https://www.imdb.com/title/tt36643714/,8.6,5493,2026,2026-08-25T00:03:03-07:00
41,Supernatural,https://www.imdb.com/title/tt0460681/,8.4,546391,2005,2026-08-25T00:03:03-07:00
42,Best Medicine,https://www.imdb.com/title/tt36885662/,6.7,6005,2026,2026-08-25T00:03:03-07:00
43,Attack on Titan,https://www.imdb.com/title/tt2560140/,9.1,741138,2013,2026-08-25T00:03:03-07:00
44,Better Call Saul,https://www.imdb.com/title/tt3032476/,9.0,858472,2015,2026-08-25T00:03:03-07:00
45,From,https://www.imdb.com/title/tt9813792/,7.8,205158,2022,2026-08-25T00:03:03-07:00
46,Anna Pigeon,https://www.imdb.com/title/tt36937503/,6.0,878,2026,2026-08-25T00:03:03-07:00
47,The Office,https://www.imdb.com/title/tt0386676/,9.0,846739,2005,2026-08-25T00:03:03-07:00
48,True Detective,https://www.imdb.com/title/tt2356777/,8.8,766931,2014,2026-08-25T00:03:03-07:00
49,The Boys,https://www.imdb.com/title/tt1190634/,8.5,1021069,2019,2026-08-25T00:03:03-07:00
50,The Terminal List,https://www.imdb.com/title/tt11743610/,7.9,129555,2022,2026-08-25T00:03:03-07:00
51,Yellowstone,https://www.imdb.com/title/tt4236770/,8.6,320044,2018,2026-08-25T00:03:03-07:00
52,Criminal Minds,https://www.imdb.com/title/tt0452046/,8.1,242283,2005,2026-08-25T00:03:03-07:00
53,The Wire,https://www.imdb.com/title/tt0306414/,9.3,437511,2002,2026-08-25T00:03:03-07:00
54,Landman,https://www.imdb.com/title/tt14186672/,8.2,114629,2024,2026-08-25T00:03:03-07:00
55,Nashville,https://www.imdb.com/title/tt2281375/,7.7,29683,2012,2026-08-25T00:03:03-07:00
56,Severance,https://www.imdb.com/title/tt11280740/,8.6,402986,2022,2026-08-25T00:03:03-07:00
57,A Knight of the Seven Kingdoms,https://www.imdb.com/title/tt27497448/,8.6,279826,2026,2026-08-25T00:03:03-07:00
58,The Punisher,https://www.imdb.com/title/tt5675620/,8.4,312489,2017,2026-08-25T00:03:03-07:00
59,Law & Order: Special Victims Unit,https://www.imdb.com/title/tt0203259/,8.1,146822,1999,2026-08-25T00:03:03-07:00
60,My Life with the Walter Boys,https://www.imdb.com/title/tt8323628/,6.8,28119,2023,2026-08-25T00:03:03-07:00
61,American Horror Story,https://www.imdb.com/title/tt1844624/,7.9,363989,2011,2026-08-25T00:03:03-07:00
62,Cape Fear,https://www.imdb.com/title/tt34675596/,6.7,20908,2026,2026-08-25T00:03:03-07:00
63,Banshee,https://www.imdb.com/title/tt2017109/,8.4,150501,2013,2026-08-25T00:03:03-07:00
64,MobLand,https://www.imdb.com/title/tt31510819/,8.3,121691,2025,2026-08-25T00:03:03-07:00
65,The Audacity,https://www.imdb.com/title/tt30923123/,6.3,2178,2026,2026-08-25T00:03:03-07:00
66,X-Men '97,https://www.imdb.com/title/tt16026746/,8.7,59006,2024,2026-08-25T00:03:03-07:00
67,The White Lotus,https://www.imdb.com/title/tt13406094/,8.0,332451,2021,2026-08-25T00:03:03-07:00
68,VisionQuest,https://www.imdb.com/title/tt23112594/,,0,2026,2026-08-25T00:03:03-07:00
69,Person of Interest,https://www.imdb.com/title/tt1839578/,8.5,214477,2011,2026-08-25T00:03:03-07:00
70,Sugar,https://www.imdb.com/title/tt16418808/,7.4,49371,2024,2026-08-25T00:03:03-07:00
71,One Piece,https://www.imdb.com/title/tt0388629/,9.0,363898,1999,2026-08-25T00:03:03-07:00
72,Dexter,https://www.imdb.com/title/tt0773262/,8.6,951512,2006,2026-08-25T00:03:03-07:00
73,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.2,23987,2026,2026-08-25T00:03:03-07:00
74,Legends,https://www.imdb.com/title/tt33265765/,7.8,27535,2026,2026-08-25T00:03:03-07:00
75,Euphoria,https://www.imdb.com/title/tt8772296/,8.1,323084,2019,2026-08-25T00:03:03-07:00
76,Friends,https://www.imdb.com/title/tt0108778/,8.8,1204710,1994,2026-08-25T00:03:03-07:00
77,Dark Matter,https://www.imdb.com/title/tt19231492/,7.6,77188,2024,2026-08-25T00:03:03-07:00
78,The Big Bang Theory,https://www.imdb.com/title/tt0898266/,8.1,944431,2007,2026-08-25T00:03:03-07:00
79,Shameless,https://www.imdb.com/title/tt1586680/,8.5,337484,2011,2026-08-25T00:03:03-07:00
80,The Westies,https://www.imdb.com/title/tt31849235/,7.2,2134,2026,2026-08-25T00:03:03-07:00
81,Succession,https://www.imdb.com/title/tt7660850/,8.8,365365,2018,2026-08-25T00:03:03-07:00
82,Shrinking,https://www.imdb.com/title/tt15677150/,8.2,129784,2023,2026-08-25T00:03:03-07:00
83,The Hawk,https://www.imdb.com/title/tt27550719/,6.4,10727,2026,2026-08-25T00:03:03-07:00
84,Black Mirror,https://www.imdb.com/title/tt2085059/,8.7,746587,2011,2026-08-25T00:03:03-07:00
85,Bleach,https://www.imdb.com/title/tt0434665/,8.3,96799,2004,2026-08-25T00:03:03-07:00
86,Beef,https://www.imdb.com/title/tt14403178/,8.0,179215,2023,2026-08-25T00:03:03-07:00
87,Grey's Anatomy,https://www.imdb.com/title/tt0413573/,7.6,377110,2005,2026-08-25T00:03:03-07:00
88,The X-Files,https://www.imdb.com/title/tt0106179/,8.6,275824,1993,2026-08-25T00:03:03-07:00
89,The Agency,https://www.imdb.com/title/tt26656917/,7.5,34974,2024,2026-08-25T00:03:03-07:00
90,Pluribus,https://www.imdb.com/title/tt22202452/,7.9,170534,2025,2026-08-25T00:03:03-07:00
91,House,https://www.imdb.com/title/tt0412142/,8.7,599112,2004,2026-08-25T00:03:03-07:00
92,ER,https://www.imdb.com/title/tt0108757/,7.9,80057,1994,2026-08-25T00:03:03-07:00
93,Fargo,https://www.imdb.com/title/tt2802850/,8.8,473953,2014,2026-08-25T00:03:03-07:00
94,The Boroughs,https://www.imdb.com/title/tt27557289/,7.2,39055,2026,2026-08-25T00:03:03-07:00
95,Loki,https://www.imdb.com/title/tt9140554/,8.2,483068,2021,2026-08-25T00:03:03-07:00
96,Spider-Noir,https://www.imdb.com/title/tt30460310/,7.7,67160,2026,2026-08-25T00:03:03-07:00
97,Suits,https://www.imdb.com/title/tt1632701/,8.4,547848,2011,2026-08-25T00:03:03-07:00
98,Monster,https://www.imdb.com/title/tt13207736/,7.7,225792,2022,2026-08-25T00:03:03-07:00
99,Mushoku Tensei: Jobless Reincarnation,https://www.imdb.com/title/tt13293588/,8.2,51038,2021,2026-08-25T00:03:03-07:00
100,Paradise,https://www.imdb.com/title/tt27444205/,7.9,87866,2025,2026-08-25T00:03:03-07:00
