rank,name_ru,name_en,url,score,votes,scraped_at
1,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.3,400355,2026-05-26T00:03:03-07:00
2,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,456666,2026-05-26T00:03:03-07:00
3,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,286358,2026-05-26T00:03:03-07:00
4,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.2,16186,2026-05-26T00:03:03-07:00
5,Городок,The Boroughs,https://www.kinopoisk.ru/series/7385223/,7.3,1560,2026-05-26T00:03:03-07:00
6,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1527346,2026-05-26T00:03:03-07:00
7,Ателье колдовских колпаков,Tongari Boushi no Atelier,https://www.kinopoisk.ru/series/6802576/,8.9,31445,2026-05-26T00:03:03-07:00
8,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,156140,2026-05-26T00:03:03-07:00
9,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,402285,2026-05-26T00:03:03-07:00
10,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,390574,2026-05-26T00:03:03-07:00
11,Заложник,,https://www.kinopoisk.ru/series/11696714/,7.6,147305,2026-05-26T00:03:03-07:00
12,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,950280,2026-05-26T00:03:03-07:00
13,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,812973,2026-05-26T00:03:03-07:00
14,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1060167,2026-05-26T00:03:03-07:00
15,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.8,2629,2026-05-26T00:03:03-07:00
16,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,948265,2026-05-26T00:03:03-07:00
17,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,388855,2026-05-26T00:03:03-07:00
18,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,184140,2026-05-26T00:03:03-07:00
19,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,299117,2026-05-26T00:03:03-07:00
20,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.4,837033,2026-05-26T00:03:03-07:00
21,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,,0,2026-05-26T00:03:03-07:00
22,Военный повар становится легендой,Chwisabyeong jeonseoli doeda,https://www.kinopoisk.ru/series/8425589/,,0,2026-05-26T00:03:03-07:00
23,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,632010,2026-05-26T00:03:03-07:00
24,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,699526,2026-05-26T00:03:03-07:00
25,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,51663,2026-05-26T00:03:03-07:00
26,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,635002,2026-05-26T00:03:03-07:00
27,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,275373,2026-05-26T00:03:03-07:00
28,Андор,Andor,https://www.kinopoisk.ru/series/1209850/,8.2,65449,2026-05-26T00:03:03-07:00
29,У Марго проблемы с деньгами,Margo's Got Money Troubles,https://www.kinopoisk.ru/series/6458212/,7.0,5510,2026-05-26T00:03:03-07:00
30,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.8,76474,2026-05-26T00:03:03-07:00
31,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.2,105120,2026-05-26T00:03:03-07:00
32,Жена принца XXI века,21segi daegun buin,https://www.kinopoisk.ru/series/6648415/,8.5,15606,2026-05-26T00:03:03-07:00
33,Поколение «Ви»,Gen V,https://www.kinopoisk.ru/series/1431133/,7.2,46183,2026-05-26T00:03:03-07:00
34,Ранчо Даттонов,Dutton Ranch,https://www.kinopoisk.ru/series/7275308/,8.8,1875,2026-05-26T00:03:03-07:00
35,Восход корпорации Vought,Vought Rising,https://www.kinopoisk.ru/series/6056626/,,0,2026-05-26T00:03:03-07:00
36,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,224700,2026-05-26T00:03:03-07:00
37,Получеловек,Half Man,https://www.kinopoisk.ru/series/7919289/,7.2,1123,2026-05-26T00:03:03-07:00
38,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,555286,2026-05-26T00:03:03-07:00
39,Банши,Banshee,https://www.kinopoisk.ru/series/696973/,8.1,148785,2026-05-26T00:03:03-07:00
40,Гачиакута,Gachiakuta,https://www.kinopoisk.ru/series/7524629/,8.5,310906,2026-05-26T00:03:03-07:00
41,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,798383,2026-05-26T00:03:03-07:00
42,Детство Шелдона,Young Sheldon,https://www.kinopoisk.ru/series/1040419/,8.8,535651,2026-05-26T00:03:03-07:00
43,Бесстыжие,Shameless,https://www.kinopoisk.ru/series/571335/,8.6,675552,2026-05-26T00:03:03-07:00
44,Адский рай,Jigokuraku,https://www.kinopoisk.ru/series/4786341/,8.4,125930,2026-05-26T00:03:03-07:00
45,Чернобыль,Chernobyl,https://www.kinopoisk.ru/series/1227803/,8.8,804300,2026-05-26T00:03:03-07:00
46,Каштановый человечек,Kastanjemanden,https://www.kinopoisk.ru/series/1434190/,7.5,68616,2026-05-26T00:03:03-07:00
47,Далёкий город,Uzak Sehir,https://www.kinopoisk.ru/series/6553560/,8.4,162765,2026-05-26T00:03:03-07:00
48,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,131461,2026-05-26T00:03:03-07:00
49,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,355008,2026-05-26T00:03:03-07:00
50,Тьма,Dark,https://www.kinopoisk.ru/series/1032606/,8.1,240483,2026-05-26T00:03:03-07:00
