rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,417509,2019,2026-06-12T00:03:01-07:00
2,Черный двор. Побег,,https://www.kinopoisk.ru/series/12305098/,7.8,91801,2026,2026-06-12T00:03:01-07:00
3,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,477828,2019,2026-06-12T00:03:01-07:00
4,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.6,18279,2026,2026-06-12T00:03:01-07:00
5,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.8,4898,2026,2026-06-12T00:03:01-07:00
6,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.2,32002,2026,2026-06-12T00:03:01-07:00
7,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,296563,2022,2026-06-12T00:03:01-07:00
8,Черный двор,,https://www.kinopoisk.ru/series/5319979/,7.8,250109,2023,2026-06-12T00:03:01-07:00
9,Закулисье,Backrooms,https://www.kinopoisk.ru/series/5129650/,7.6,5016,2022,2026-06-12T00:03:01-07:00
10,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1537285,2011,2026-06-12T00:03:01-07:00
11,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.8,84645,2016,2026-06-12T00:03:01-07:00
12,Каждый год после,Every Year After,https://www.kinopoisk.ru/series/11827840/,,0,2026,2026-06-12T00:03:01-07:00
13,Ателье колдовских колпаков,Tongari Boushi no Atelier,https://www.kinopoisk.ru/series/6802576/,8.9,38005,2026,2026-06-12T00:03:01-07:00
14,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,956187,2013,2026-06-12T00:03:01-07:00
15,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.6,5731,2026,2026-06-12T00:03:01-07:00
16,Мыс страха,Cape Fear,https://www.kinopoisk.ru/series/6576642/,7.1,1186,2026,2026-06-12T00:03:01-07:00
17,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,395748,2011,2026-06-12T00:03:01-07:00
18,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1066430,2020,2026-06-12T00:03:01-07:00
19,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,816919,2008,2026-06-12T00:03:01-07:00
20,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,395551,2006,2026-06-12T00:03:01-07:00
21,Бороуз,The Boroughs,https://www.kinopoisk.ru/series/7385223/,7.2,6724,2026,2026-06-12T00:03:01-07:00
22,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,302547,1999,2026-06-12T00:03:01-07:00
23,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,951441,2013,2026-06-12T00:03:01-07:00
24,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.4,841615,2016,2026-06-12T00:03:01-07:00
25,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,190287,2018,2026-06-12T00:03:01-07:00
26,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,706390,2015,2026-06-12T00:03:01-07:00
27,Получеловек,Half Man,https://www.kinopoisk.ru/series/7919289/,7.8,3115,2026,2026-06-12T00:03:01-07:00
28,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,635623,2010,2026-06-12T00:03:01-07:00
29,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,801700,2022,2026-06-12T00:03:01-07:00
30,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,277466,2018,2026-06-12T00:03:01-07:00
31,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,416018,2022,2026-06-12T00:03:01-07:00
32,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,158681,2025,2026-06-12T00:03:01-07:00
33,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,637711,2005,2026-06-12T00:03:01-07:00
34,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,226389,2015,2026-06-12T00:03:01-07:00
35,Детство Шелдона,Young Sheldon,https://www.kinopoisk.ru/series/1040419/,8.8,541454,2017,2026-06-12T00:03:01-07:00
36,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,53142,2025,2026-06-12T00:03:01-07:00
37,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,357345,1998,2026-06-12T00:03:01-07:00
38,Слабый герой,Yakhan yeongung,https://www.kinopoisk.ru/series/4857811/,8.4,299524,2022,2026-06-12T00:03:01-07:00
39,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,132719,2023,2026-06-12T00:03:01-07:00
40,Гачиакута,Gachiakuta,https://www.kinopoisk.ru/series/7524629/,8.5,315938,2025,2026-06-12T00:03:01-07:00
41,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.2,107682,2026,2026-06-12T00:03:01-07:00
