rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,807757,2022,2026-06-23T00:03:03-07:00
2,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,424332,2019,2026-06-23T00:03:03-07:00
3,Я тебя отыщу,I Will Find You,https://www.kinopoisk.ru/series/9349321/,7.1,3126,2026,2026-06-23T00:03:03-07:00
4,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,302261,2022,2026-06-23T00:03:03-07:00
5,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.6,10821,2026,2026-06-23T00:03:03-07:00
6,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,484778,2019,2026-06-23T00:03:03-07:00
7,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.2,38999,2026,2026-06-23T00:03:03-07:00
8,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.8,13008,2026,2026-06-23T00:03:03-07:00
9,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1543413,2011,2026-06-23T00:03:03-07:00
10,Черный двор. Побег,,https://www.kinopoisk.ru/series/12305098/,7.6,182760,2026,2026-06-23T00:03:03-07:00
11,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.6,23380,2026,2026-06-23T00:03:03-07:00
12,Ателье колдовских колпаков,Tongari Boushi no Atelier,https://www.kinopoisk.ru/series/6802576/,8.8,42145,2026,2026-06-23T00:03:03-07:00
13,Закулисье,Backrooms,https://www.kinopoisk.ru/series/5129650/,7.5,6113,2022,2026-06-23T00:03:03-07:00
14,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.8,90743,2016,2026-06-23T00:03:03-07:00
15,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,959717,2013,2026-06-23T00:03:03-07:00
16,Черный двор,,https://www.kinopoisk.ru/series/5319979/,7.8,265019,2023,2026-06-23T00:03:03-07:00
17,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,819275,2008,2026-06-23T00:03:03-07:00
18,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,304701,1999,2026-06-23T00:03:03-07:00
19,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1069886,2020,2026-06-23T00:03:03-07:00
20,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,953706,2013,2026-06-23T00:03:03-07:00
21,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,398403,2006,2026-06-23T00:03:03-07:00
22,Удивительный цифровой цирк,The Amazing Digital Circus,https://www.kinopoisk.ru/series/5398176/,8.4,66445,2023,2026-06-23T00:03:03-07:00
23,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,399457,2011,2026-06-23T00:03:03-07:00
24,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,195417,2018,2026-06-23T00:03:03-07:00
25,Бороуз,The Boroughs,https://www.kinopoisk.ru/series/7385223/,7.1,8478,2026,2026-06-23T00:03:03-07:00
26,Частые побочные явления,Common Side Effects,https://www.kinopoisk.ru/series/6990425/,8.3,16909,2024,2026-06-23T00:03:03-07:00
27,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.4,844588,2016,2026-06-23T00:03:03-07:00
28,Получеловек,Half Man,https://www.kinopoisk.ru/series/7919289/,7.9,4601,2026,2026-06-23T00:03:03-07:00
29,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.1,109319,2026,2026-06-23T00:03:03-07:00
30,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,637707,2010,2026-06-23T00:03:03-07:00
31,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,709372,2015,2026-06-23T00:03:03-07:00
32,Шугар,Sugar,https://www.kinopoisk.ru/series/5080554/,7.1,22483,2023,2026-06-23T00:03:03-07:00
33,Ещё 17,Daha on Yedi,https://www.kinopoisk.ru/series/12588511/,,0,2026,2026-06-23T00:03:03-07:00
34,Мыс страха,Cape Fear,https://www.kinopoisk.ru/series/6576642/,7.0,2283,2026,2026-06-23T00:03:03-07:00
35,Ночная сказка,Bir Gece Masali,https://www.kinopoisk.ru/series/6157707/,7.9,23072,2024,2026-06-23T00:03:03-07:00
36,Слабый герой,Yakhan yeongung,https://www.kinopoisk.ru/series/4857811/,8.4,303949,2022,2026-06-23T00:03:03-07:00
37,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,278648,2018,2026-06-23T00:03:03-07:00
38,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,227489,2015,2026-06-23T00:03:03-07:00
39,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,414660,2004,2026-06-23T00:03:03-07:00
40,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,159872,2025,2026-06-23T00:03:03-07:00
41,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,639366,2005,2026-06-23T00:03:03-07:00
42,Военный повар становится легендой,Chwisabyeong jeonseoli doeda,https://www.kinopoisk.ru/series/8425589/,8.3,6373,2026,2026-06-23T00:03:03-07:00
43,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,419574,2022,2026-06-23T00:03:03-07:00
44,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,53882,2025,2026-06-23T00:03:03-07:00
45,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,558733,2014,2026-06-23T00:03:03-07:00
46,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,133573,2023,2026-06-23T00:03:03-07:00
47,Адский рай,Jigokuraku,https://www.kinopoisk.ru/series/4786341/,8.4,133323,2023,2026-06-23T00:03:03-07:00
48,Детство Шелдона,Young Sheldon,https://www.kinopoisk.ru/series/1040419/,8.8,544386,2017,2026-06-23T00:03:03-07:00
49,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,358942,1998,2026-06-23T00:03:03-07:00
50,Каждый год после,Every Year After,https://www.kinopoisk.ru/series/11827840/,6.5,2717,2026,2026-06-23T00:03:03-07:00
