rank,title,url,score,votes,release_year,scraped_at
1,Off Campus,https://www.imdb.com/title/tt33546863/,8.0,33083,2026,2026-06-17T00:03:03-07:00
2,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.3,19919,2026,2026-06-17T00:03:03-07:00
3,Cape Fear,https://www.imdb.com/title/tt34675596/,7.1,3492,2026,2026-06-17T00:03:03-07:00
4,From,https://www.imdb.com/title/tt9813792/,7.8,189547,2022,2026-06-17T00:03:03-07:00
5,Spider-Noir,https://www.imdb.com/title/tt30460310/,7.9,42048,2026,2026-06-17T00:03:03-07:00
6,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.4,9582,2026,2026-06-17T00:03:03-07:00
7,Every Year After,https://www.imdb.com/title/tt33055254/,6.3,2544,2026,2026-06-17T00:03:03-07:00
8,The Boroughs,https://www.imdb.com/title/tt27557289/,7.3,25965,2026,2026-06-17T00:03:03-07:00
9,Teach You a Lesson,https://www.imdb.com/title/tt34809853/,8.6,6714,2026,2026-06-17T00:03:03-07:00
10,The Boys,https://www.imdb.com/title/tt1190634/,8.5,995510,2019,2026-06-17T00:03:03-07:00
11,Euphoria,https://www.imdb.com/title/tt8772296/,8.1,314185,2019,2026-06-17T00:03:03-07:00
12,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2624765,2011,2026-06-17T00:03:03-07:00
13,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,530505,2022,2026-06-17T00:03:03-07:00
14,Your Friends & Neighbors,https://www.imdb.com/title/tt30459041/,7.7,59577,2025,2026-06-17T00:03:03-07:00
15,The Four Seasons,https://www.imdb.com/title/tt30826447/,7.2,42131,2025,2026-06-17T00:03:03-07:00
16,The Witness,https://www.imdb.com/title/tt31631015/,6.5,2760,2026,2026-06-17T00:03:03-07:00
17,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,154756,2025,2026-06-17T00:03:03-07:00
18,Legends,https://www.imdb.com/title/tt33265765/,7.9,19359,2026,2026-06-17T00:03:03-07:00
19,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2630317,2008,2026-06-17T00:03:03-07:00
20,Re: Zero - Starting Life in Another World,https://www.imdb.com/title/tt5607616/,8.2,55650,2016,2026-06-17T00:03:03-07:00
21,Not Suitable for Work,https://www.imdb.com/title/tt35823838/,6.6,1488,2026,2026-06-17T00:03:03-07:00
22,Tip Toe,https://www.imdb.com/title/tt35768911/,8.2,2340,2026,2026-06-17T00:03:03-07:00
23,Rivals,https://www.imdb.com/title/tt21906238/,7.9,19106,2024,2026-06-17T00:03:03-07:00
24,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,698469,2013,2026-06-17T00:03:03-07:00
25,Yellowstone,https://www.imdb.com/title/tt4236770/,8.6,313768,2018,2026-06-17T00:03:03-07:00
26,Among Us,https://www.imdb.com/title/tt28230655/,7.3,1994,2026,2026-06-17T00:03:03-07:00
27,Alice and Steve,https://www.imdb.com/title/tt35728748/,6.8,1249,2026,2026-06-17T00:03:03-07:00
