rank,title,url,score,votes,release_year,scraped_at
1,I Will Find You,https://www.imdb.com/title/tt34771210/,7.2,26029,2026,2026-07-04T00:03:01-07:00
2,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,541022,2022,2026-07-04T00:03:01-07:00
3,The Bear,https://www.imdb.com/title/tt14452776/,8.5,314082,2022,2026-07-04T00:03:01-07:00
4,From,https://www.imdb.com/title/tt9813792/,7.8,195297,2022,2026-07-04T00:03:01-07:00
5,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.2,40952,2026,2026-07-04T00:03:01-07:00
6,Avatar: The Last Airbender,https://www.imdb.com/title/tt9018736/,7.2,87900,2024,2026-07-04T00:03:01-07:00
7,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.4,12752,2026,2026-07-04T00:03:01-07:00
8,Off Campus,https://www.imdb.com/title/tt33546863/,7.9,40257,2026,2026-07-04T00:03:01-07:00
9,Cape Fear,https://www.imdb.com/title/tt34675596/,6.9,6030,2026,2026-07-04T00:03:01-07:00
10,The Agency,https://www.imdb.com/title/tt26656917/,7.4,30765,2024,2026-07-04T00:03:01-07:00
11,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2630291,2011,2026-07-04T00:03:01-07:00
12,"Life, Larry and the Pursuit of Unhappiness: an Almost History of America",https://www.imdb.com/title/tt37543147/,6.9,885,2026,2026-07-04T00:03:01-07:00
13,Oasis,https://www.imdb.com/title/tt38734636/,5.5,1081,2026,2026-07-04T00:03:01-07:00
14,Spider-Noir,https://www.imdb.com/title/tt30460310/,7.8,51948,2026,2026-07-04T00:03:01-07:00
15,Sugar,https://www.imdb.com/title/tt16418808/,7.4,44855,2024,2026-07-04T00:03:01-07:00
16,The Boys,https://www.imdb.com/title/tt1190634/,8.5,1003182,2019,2026-07-04T00:03:01-07:00
17,Re: Zero - Starting Life in Another World,https://www.imdb.com/title/tt5607616/,8.2,73475,2016,2026-07-04T00:03:01-07:00
18,The Boroughs,https://www.imdb.com/title/tt27557289/,7.3,31233,2026,2026-07-04T00:03:01-07:00
19,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2637276,2008,2026-07-04T00:03:01-07:00
20,The Vampire Lestat,https://www.imdb.com/title/tt3960394/,7.6,41309,2022,2026-07-04T00:03:01-07:00
21,Raakh,https://www.imdb.com/title/tt35870921/,7.5,5851,2026,2026-07-04T00:03:01-07:00
22,Agent Kim Reactivated,https://www.imdb.com/title/tt42127457/,8.1,648,2026,2026-07-04T00:03:01-07:00
23,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,700303,2013,2026-07-04T00:03:01-07:00
24,Teach You a Lesson,https://www.imdb.com/title/tt34809853/,8.5,12444,2026,2026-07-04T00:03:01-07:00
25,Euphoria,https://www.imdb.com/title/tt8772296/,8.1,316651,2019,2026-07-04T00:03:01-07:00
26,Notes from the Last Row,https://www.imdb.com/title/tt36270432/,7.4,1063,2026,2026-07-04T00:03:01-07:00
27,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,157204,2025,2026-07-04T00:03:01-07:00
28,Not Suitable for Work,https://www.imdb.com/title/tt35823838/,6.9,3267,2026,2026-07-04T00:03:01-07:00
29,Every Year After,https://www.imdb.com/title/tt33055254/,6.3,5267,2026,2026-07-04T00:03:01-07:00
30,Silo,https://www.imdb.com/title/tt14688458/,8.1,217454,2023,2026-07-04T00:03:01-07:00
31,Seeking Persephone,https://www.imdb.com/title/tt29666911/,7.6,2867,2026,2026-07-04T00:03:01-07:00
32,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,130173,2018,2026-07-04T00:03:01-07:00
33,Supernatural,https://www.imdb.com/title/tt0460681/,8.4,542249,2005,2026-07-04T00:03:01-07:00
34,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,233393,2008,2026-07-04T00:03:01-07:00
35,Yellowstone,https://www.imdb.com/title/tt4236770/,8.6,314960,2018,2026-07-04T00:03:01-07:00
36,Criminal Minds,https://www.imdb.com/title/tt0452046/,8.1,240498,2005,2026-07-04T00:03:01-07:00
37,The Sopranos,https://www.imdb.com/title/tt0141842/,9.2,584785,1999,2026-07-04T00:03:01-07:00
38,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,448209,2020,2026-07-04T00:03:01-07:00
39,The Last Ship,https://www.imdb.com/title/tt2402207/,7.4,69403,2014,2026-07-04T00:03:01-07:00
40,Maximum Pleasure Guaranteed,https://www.imdb.com/title/tt35946742/,7.2,3083,2026,2026-07-04T00:03:01-07:00
41,A Knight of the Seven Kingdoms,https://www.imdb.com/title/tt27497448/,8.6,259982,2026,2026-07-04T00:03:01-07:00
42,Your Friends & Neighbors,https://www.imdb.com/title/tt30459041/,7.7,61414,2025,2026-07-04T00:03:01-07:00
43,Attack on Titan,https://www.imdb.com/title/tt2560140/,9.1,727588,2013,2026-07-04T00:03:01-07:00
44,Love Island USA,https://www.imdb.com/title/tt8819906/,5.2,3929,2019,2026-07-04T00:03:01-07:00
45,Legends,https://www.imdb.com/title/tt33265765/,7.8,21868,2026,2026-07-04T00:03:01-07:00
46,The Polygamist,https://www.imdb.com/title/tt42543947/,6.3,968,2026,2026-07-04T00:03:01-07:00
