rank,title,url,score,votes,release_year,scraped_at
1,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,550316,2022,2026-07-26T00:03:04-07:00
2,The Hawk,https://www.imdb.com/title/tt27550719/,6.4,5261,2026,2026-07-26T00:03:04-07:00
3,Little House on the Prairie,https://www.imdb.com/title/tt2431250/,7.3,5452,2026,2026-07-26T00:03:04-07:00
4,Ride or Die,https://www.imdb.com/title/tt30494226/,7.6,5874,2026,2026-07-26T00:03:04-07:00
5,I Will Find You,https://www.imdb.com/title/tt34771210/,7.1,46915,2026,2026-07-26T00:03:04-07:00
6,Lucky,https://www.imdb.com/title/tt34866681/,6.5,2824,2026,2026-07-26T00:03:04-07:00
7,Silo,https://www.imdb.com/title/tt14688458/,8.1,222186,2023,2026-07-26T00:03:04-07:00
8,The Five-Star Weekend,https://www.imdb.com/title/tt35587659/,7.2,2732,2026,2026-07-26T00:03:04-07:00
9,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.1,55331,2026,2026-07-26T00:03:04-07:00
10,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2639161,2011,2026-07-26T00:03:04-07:00
11,Cape Fear,https://www.imdb.com/title/tt34675596/,6.8,9963,2026,2026-07-26T00:03:04-07:00
12,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.3,19847,2026,2026-07-26T00:03:04-07:00
13,The Bear,https://www.imdb.com/title/tt14452776/,8.5,318367,2022,2026-07-26T00:03:04-07:00
14,Agent Kim Reactivated,https://www.imdb.com/title/tt42127457/,7.8,3587,2026,2026-07-26T00:03:04-07:00
15,Off Campus,https://www.imdb.com/title/tt33546863/,7.9,46097,2026,2026-07-26T00:03:04-07:00
16,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,703503,2013,2026-07-26T00:03:04-07:00
17,The Odyssey,https://www.imdb.com/title/tt0118414/,7.1,20096,1997,2026-07-26T00:03:04-07:00
18,From,https://www.imdb.com/title/tt9813792/,7.8,200352,2022,2026-07-26T00:03:04-07:00
19,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,236845,2008,2026-07-26T00:03:04-07:00
20,The East Palace,https://www.imdb.com/title/tt35051401/,7.5,2416,2026,2026-07-26T00:03:04-07:00
21,Avatar: The Last Airbender,https://www.imdb.com/title/tt9018736/,7.1,90906,2024,2026-07-26T00:03:04-07:00
22,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2647770,2008,2026-07-26T00:03:04-07:00
23,Elle,https://www.imdb.com/title/tt32020831/,6.9,6046,2026,2026-07-26T00:03:04-07:00
24,The Westies,https://www.imdb.com/title/tt31849235/,7.0,878,2026,2026-07-26T00:03:04-07:00
25,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,451267,2020,2026-07-26T00:03:04-07:00
26,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,161163,2025,2026-07-26T00:03:04-07:00
27,Maximum Pleasure Guaranteed,https://www.imdb.com/title/tt35946742/,7.4,6734,2026,2026-07-26T00:03:04-07:00
28,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,131662,2018,2026-07-26T00:03:04-07:00
29,"Life, Larry and the Pursuit of Unhappiness: an Almost History of America",https://www.imdb.com/title/tt37543147/,6.5,2919,2026,2026-07-26T00:03:04-07:00
30,Heroes,https://www.imdb.com/title/tt0813715/,7.5,262129,2006,2026-07-26T00:03:04-07:00
31,Criminal Minds,https://www.imdb.com/title/tt0452046/,8.1,241223,2005,2026-07-26T00:03:04-07:00
32,The Boys,https://www.imdb.com/title/tt1190634/,8.5,1011106,2019,2026-07-26T00:03:04-07:00
33,Ann Droid,https://www.imdb.com/title/tt37788031/,7.7,1384,2026,2026-07-26T00:03:04-07:00
34,Sugar,https://www.imdb.com/title/tt16418808/,7.4,46371,2024,2026-07-26T00:03:04-07:00
35,The Dark,https://www.imdb.com/title/tt37510653/,6.6,755,2026,2026-07-26T00:03:04-07:00
36,Euphoria,https://www.imdb.com/title/tt8772296/,8.1,319400,2019,2026-07-26T00:03:04-07:00
37,The Agency,https://www.imdb.com/title/tt26656917/,7.5,32866,2024,2026-07-26T00:03:04-07:00
38,X-Men '97,https://www.imdb.com/title/tt16026746/,8.7,56220,2024,2026-07-26T00:03:04-07:00
39,Supernatural,https://www.imdb.com/title/tt0460681/,8.4,543907,2005,2026-07-26T00:03:04-07:00
40,The Sopranos,https://www.imdb.com/title/tt0141842/,9.2,587674,1999,2026-07-26T00:03:04-07:00
41,Yellowstone,https://www.imdb.com/title/tt4236770/,8.6,316925,2018,2026-07-26T00:03:04-07:00
42,The Vampire Lestat,https://www.imdb.com/title/tt3960394/,7.6,42851,2022,2026-07-26T00:03:04-07:00
43,The Boroughs,https://www.imdb.com/title/tt27557289/,7.2,35165,2026,2026-07-26T00:03:04-07:00
44,A Knight of the Seven Kingdoms,https://www.imdb.com/title/tt27497448/,8.6,269188,2026,2026-07-26T00:03:04-07:00
45,The Walking Dead,https://www.imdb.com/title/tt1520211/,8.1,1205185,2010,2026-07-26T00:03:04-07:00
46,The Shards,https://www.imdb.com/title/tt27543562/,,0,2026,2026-07-26T00:03:04-07:00
47,Little House on the Prairie,https://www.imdb.com/title/tt0071007/,7.6,30907,1974,2026-07-26T00:03:04-07:00
48,Attack on Titan,https://www.imdb.com/title/tt2560140/,9.1,732716,2013,2026-07-26T00:03:04-07:00
49,Dark Winds,https://www.imdb.com/title/tt15017118/,7.7,34491,2022,2026-07-26T00:03:04-07:00
50,Stranger Things,https://www.imdb.com/title/tt4574334/,8.6,1720694,2016,2026-07-26T00:03:04-07:00
51,The Office,https://www.imdb.com/title/tt0386676/,9.0,841197,2005,2026-07-26T00:03:04-07:00
52,Better Call Saul,https://www.imdb.com/title/tt3032476/,9.0,850132,2015,2026-07-26T00:03:04-07:00
53,Landman,https://www.imdb.com/title/tt14186672/,8.2,112263,2024,2026-07-26T00:03:04-07:00
