rank,title,url,score,votes,release_year,scraped_at
1,The Gentlemen,https://www.imdb.com/title/tt13210838/,8.0,191160,2024,2026-09-13T00:03:01-07:00
2,Silo,https://www.imdb.com/title/tt14688458/,8.1,239039,2023,2026-09-13T00:03:01-07:00
3,Lanterns,https://www.imdb.com/title/tt26545992/,7.8,29614,2026,2026-09-13T00:03:01-07:00
4,Reacher,https://www.imdb.com/title/tt9288030/,8.0,312155,2022,2026-09-13T00:03:01-07:00
5,Furious,https://www.imdb.com/title/tt36303968/,7.9,21610,2026,2026-09-13T00:03:01-07:00
6,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,464697,2020,2026-09-13T00:03:01-07:00
7,Bleach: Thousand-Year Blood War,https://www.imdb.com/title/tt14986406/,9.0,113084,2022,2026-09-13T00:03:01-07:00
8,East of Eden,https://www.imdb.com/title/tt21097264/,,0,2026,2026-09-13T00:03:01-07:00
9,Lioness,https://www.imdb.com/title/tt13111078/,7.8,97008,2023,2026-09-13T00:03:01-07:00
10,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,248601,2008,2026-09-13T00:03:01-07:00
11,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2660779,2011,2026-09-13T00:03:01-07:00
12,Harry Potter,https://www.imdb.com/title/tt13918446/,,0,2026,2026-09-13T00:03:01-07:00
13,Dark Matter,https://www.imdb.com/title/tt19231492/,7.6,79297,2024,2026-09-13T00:03:01-07:00
14,Chad Powers,https://www.imdb.com/title/tt31449991/,7.5,17479,2025,2026-09-13T00:03:01-07:00
15,Adults,https://www.imdb.com/title/tt33049767/,7.6,11885,2025,2026-09-13T00:03:01-07:00
16,Star Trek: Strange New Worlds,https://www.imdb.com/title/tt12327578/,8.2,78940,2022,2026-09-13T00:03:01-07:00
17,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,568741,2022,2026-09-13T00:03:01-07:00
18,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2674720,2008,2026-09-13T00:03:01-07:00
19,The Shards,https://www.imdb.com/title/tt27543562/,6.0,5041,2026,2026-09-13T00:03:01-07:00
20,Re: Zero - Starting Life in Another World,https://www.imdb.com/title/tt5607616/,8.3,93410,2016,2026-09-13T00:03:01-07:00
21,Slow Horses,https://www.imdb.com/title/tt5875444/,8.3,155477,2022,2026-09-13T00:03:01-07:00
22,Sterling Point,https://www.imdb.com/title/tt35618070/,7.4,14987,2026,2026-09-13T00:03:01-07:00
23,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,135269,2018,2026-09-13T00:03:01-07:00
24,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.1,76136,2026,2026-09-13T00:03:01-07:00
25,MobLand,https://www.imdb.com/title/tt31510819/,8.3,123602,2025,2026-09-13T00:03:01-07:00
26,Stuart Fails to Save the Universe,https://www.imdb.com/title/tt27497393/,7.1,8756,2026,2026-09-13T00:03:01-07:00
27,Outer Banks,https://www.imdb.com/title/tt10293938/,7.5,114326,2020,2026-09-13T00:03:01-07:00
28,Tires,https://www.imdb.com/title/tt31491435/,7.7,25855,2024,2026-09-13T00:03:01-07:00
29,The Sopranos,https://www.imdb.com/title/tt0141842/,9.2,595646,1999,2026-09-13T00:03:01-07:00
30,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,169335,2025,2026-09-13T00:03:01-07:00
31,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,711955,2013,2026-09-13T00:03:01-07:00
32,Mousetrap,https://www.imdb.com/title/tt36996011/,6.9,1727,2026,2026-09-13T00:03:01-07:00
33,Leanne,https://www.imdb.com/title/tt32213668/,7.2,6727,2025,2026-09-13T00:03:01-07:00
34,Supernatural,https://www.imdb.com/title/tt0460681/,8.4,547742,2005,2026-09-13T00:03:01-07:00
35,The Walking Dead,https://www.imdb.com/title/tt1520211/,8.1,1213331,2010,2026-09-13T00:03:01-07:00
36,SEAL Team,https://www.imdb.com/title/tt6473344/,7.9,41164,2017,2026-09-13T00:03:01-07:00
37,Off Campus,https://www.imdb.com/title/tt33546863/,7.8,54582,2026,2026-09-13T00:03:01-07:00
38,Attack on Titan,https://www.imdb.com/title/tt2560140/,9.1,746217,2013,2026-09-13T00:03:01-07:00
39,Spider-Noir,https://www.imdb.com/title/tt30460310/,7.7,71312,2026,2026-09-13T00:03:01-07:00
40,Heroes,https://www.imdb.com/title/tt0813715/,7.5,265651,2006,2026-09-13T00:03:01-07:00
41,Better Call Saul,https://www.imdb.com/title/tt3032476/,9.0,862861,2015,2026-09-13T00:03:01-07:00
42,True Detective,https://www.imdb.com/title/tt2356777/,8.8,769668,2014,2026-09-13T00:03:01-07:00
