rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Реинкарнация безработного: История о приключениях в другом мире,Mushoku Tensei: Isekai Ittara Honki Dasu,https://www.kinopoisk.ru/series/1312253/,8.1,90301,2021,2026-07-14T00:03:03-07:00
2,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,827681,2022,2026-07-14T00:03:03-07:00
3,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,434143,2019,2026-07-14T00:03:03-07:00
4,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,313324,2022,2026-07-14T00:03:03-07:00
5,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,137750,2023,2026-07-14T00:03:03-07:00
6,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,959176,2013,2026-07-14T00:03:03-07:00
7,Я тебя отыщу,I Will Find You,https://www.kinopoisk.ru/series/9349321/,7.1,14403,2026,2026-07-14T00:03:03-07:00
8,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1557329,2011,2026-07-14T00:03:03-07:00
9,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,492595,2019,2026-07-14T00:03:03-07:00
10,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.5,20146,2026,2026-07-14T00:03:03-07:00
11,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.7,18794,2026,2026-07-14T00:03:03-07:00
12,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,204431,2018,2026-07-14T00:03:03-07:00
13,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,967732,2013,2026-07-14T00:03:03-07:00
14,Призрак в доспехах,Koukaku Kidoutai,https://www.kinopoisk.ru/series/11195100/,7.5,9717,2026,2026-07-14T00:03:03-07:00
15,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,824133,2008,2026-07-14T00:03:03-07:00
16,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,309171,1999,2026-07-14T00:03:03-07:00
17,Закулисье,Backrooms,https://www.kinopoisk.ru/series/5129650/,7.5,6931,2022,2026-07-14T00:03:03-07:00
18,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,162624,2025,2026-07-14T00:03:03-07:00
19,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,403690,2006,2026-07-14T00:03:03-07:00
20,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1076998,2020,2026-07-14T00:03:03-07:00
21,Менеджер Ким,Kim bujang,https://www.kinopoisk.ru/series/9027270/,8.1,4125,2026,2026-07-14T00:03:03-07:00
22,Мыс страха,Cape Fear,https://www.kinopoisk.ru/series/6576642/,6.7,4667,2026,2026-07-14T00:03:03-07:00
