rank,title,url,score,votes,release_year,scraped_at
1,Lanterns,https://www.imdb.com/title/tt26545992/,7.8,21621,2026,2026-09-03T00:03:01-07:00
2,Bleach: Thousand-Year Blood War,https://www.imdb.com/title/tt14986406/,9.0,110667,2022,2026-09-03T00:03:01-07:00
3,Silo,https://www.imdb.com/title/tt14688458/,8.1,232822,2023,2026-09-03T00:03:01-07:00
4,Reacher,https://www.imdb.com/title/tt9288030/,8.0,309599,2022,2026-09-03T00:03:01-07:00
5,Ted Lasso,https://www.imdb.com/title/tt10986410/,8.7,462527,2020,2026-09-03T00:03:01-07:00
6,Furious,https://www.imdb.com/title/tt36303968/,7.9,14321,2026,2026-09-03T00:03:01-07:00
7,Lioness,https://www.imdb.com/title/tt13111078/,7.8,95390,2023,2026-09-03T00:03:01-07:00
8,Dark Matter,https://www.imdb.com/title/tt19231492/,7.6,78170,2024,2026-09-03T00:03:01-07:00
9,The Mentalist,https://www.imdb.com/title/tt1196946/,8.2,246229,2008,2026-09-03T00:03:01-07:00
10,Sterling Point,https://www.imdb.com/title/tt35618070/,7.4,13173,2026,2026-09-03T00:03:01-07:00
11,Outer Banks,https://www.imdb.com/title/tt10293938/,7.5,113418,2020,2026-09-03T00:03:01-07:00
12,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2657124,2011,2026-09-03T00:03:01-07:00
13,House of the Dragon,https://www.imdb.com/title/tt11198330/,8.3,566992,2022,2026-09-03T00:03:01-07:00
14,Adults,https://www.imdb.com/title/tt33049767/,7.5,10653,2025,2026-09-03T00:03:01-07:00
15,Re: Zero - Starting Life in Another World,https://www.imdb.com/title/tt5607616/,8.3,89501,2016,2026-09-03T00:03:01-07:00
16,Tires,https://www.imdb.com/title/tt31491435/,7.7,25039,2024,2026-09-03T00:03:01-07:00
17,The Shards,https://www.imdb.com/title/tt27543562/,6.0,3662,2026,2026-09-03T00:03:01-07:00
18,Blood Sacrifice,https://www.imdb.com/title/tt38553367/,6.3,4550,2026,2026-09-03T00:03:01-07:00
19,The Gentlemen,https://www.imdb.com/title/tt13210838/,8.0,182852,2024,2026-09-03T00:03:01-07:00
20,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2670134,2008,2026-09-03T00:03:01-07:00
21,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.1,72679,2026,2026-09-03T00:03:01-07:00
22,Mousetrap,https://www.imdb.com/title/tt36996011/,6.9,813,2026,2026-09-03T00:03:01-07:00
23,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,134692,2018,2026-09-03T00:03:01-07:00
24,Star Trek: Strange New Worlds,https://www.imdb.com/title/tt12327578/,8.2,78344,2022,2026-09-03T00:03:01-07:00
25,Talamasca: The Secret Order,https://www.imdb.com/title/tt32596156/,6.5,7580,2025,2026-09-03T00:03:01-07:00
26,Lucky,https://www.imdb.com/title/tt34866681/,6.7,14347,2026,2026-09-03T00:03:01-07:00
27,Slow Horses,https://www.imdb.com/title/tt5875444/,8.3,154192,2022,2026-09-03T00:03:01-07:00
28,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,167837,2025,2026-09-03T00:03:01-07:00
29,Leanne,https://www.imdb.com/title/tt32213668/,7.1,6410,2025,2026-09-03T00:03:01-07:00
30,Heroes,https://www.imdb.com/title/tt0813715/,7.5,265108,2006,2026-09-03T00:03:01-07:00
31,Ludwig,https://www.imdb.com/title/tt27846061/,8.1,24409,2024,2026-09-03T00:03:01-07:00
32,Stuart Fails to Save the Universe,https://www.imdb.com/title/tt27497393/,7.1,7609,2026,2026-09-03T00:03:01-07:00
33,The Sopranos,https://www.imdb.com/title/tt0141842/,9.2,594329,1999,2026-09-03T00:03:01-07:00
34,Rick and Morty,https://www.imdb.com/title/tt2861424/,9.0,710777,2013,2026-09-03T00:03:01-07:00
35,I Will Find You,https://www.imdb.com/title/tt34771210/,7.1,62025,2026,2026-09-03T00:03:01-07:00
36,Mushoku Tensei: Jobless Reincarnation,https://www.imdb.com/title/tt13293588/,8.2,56361,2021,2026-09-03T00:03:01-07:00
37,SEAL Team,https://www.imdb.com/title/tt6473344/,7.9,40769,2017,2026-09-03T00:03:01-07:00
38,Off Campus,https://www.imdb.com/title/tt33546863/,7.8,53266,2026,2026-09-03T00:03:01-07:00
39,The Bear,https://www.imdb.com/title/tt14452776/,8.5,324297,2022,2026-09-03T00:03:01-07:00
40,The Walking Dead,https://www.imdb.com/title/tt1520211/,8.1,1211956,2010,2026-09-03T00:03:01-07:00
41,Attack on Titan,https://www.imdb.com/title/tt2560140/,9.1,743978,2013,2026-09-03T00:03:01-07:00
42,Supernatural,https://www.imdb.com/title/tt0460681/,8.4,547015,2005,2026-09-03T00:03:01-07:00
43,It's Always Sunny in Philadelphia,https://www.imdb.com/title/tt0472954/,8.8,284448,2005,2026-09-03T00:03:01-07:00
44,Better Call Saul,https://www.imdb.com/title/tt3032476/,9.0,860664,2015,2026-09-03T00:03:01-07:00
45,True Detective,https://www.imdb.com/title/tt2356777/,8.8,768317,2014,2026-09-03T00:03:01-07:00
46,Criminal Minds,https://www.imdb.com/title/tt0452046/,8.1,242619,2005,2026-09-03T00:03:01-07:00
47,From,https://www.imdb.com/title/tt9813792/,7.8,206291,2022,2026-09-03T00:03:01-07:00
48,Ride or Die,https://www.imdb.com/title/tt30494226/,7.5,15236,2026,2026-09-03T00:03:01-07:00
49,My Brilliant Career,https://www.imdb.com/title/tt37352716/,7.0,2903,2026,2026-09-03T00:03:01-07:00
50,Death of the Pastor's Wife,https://www.imdb.com/title/tt44113382/,6.7,2712,2026,2026-09-03T00:03:01-07:00
51,Severance,https://www.imdb.com/title/tt11280740/,8.6,404345,2022,2026-09-03T00:03:01-07:00
52,The Office,https://www.imdb.com/title/tt0386676/,9.0,848190,2005,2026-09-03T00:03:01-07:00
53,Stranger Things,https://www.imdb.com/title/tt4574334/,8.6,1735394,2016,2026-09-03T00:03:01-07:00
54,One Piece,https://www.imdb.com/title/tt0388629/,9.0,365703,1999,2026-09-03T00:03:01-07:00
55,Yellowstone,https://www.imdb.com/title/tt4236770/,8.6,320801,2018,2026-09-03T00:03:01-07:00
56,The Wire,https://www.imdb.com/title/tt0306414/,9.3,438221,2002,2026-09-03T00:03:01-07:00
57,Beauty in Black,https://www.imdb.com/title/tt31260386/,5.9,6233,2024,2026-09-03T00:03:01-07:00
58,The Boys,https://www.imdb.com/title/tt1190634/,8.5,1023303,2019,2026-09-03T00:03:01-07:00
59,Landman,https://www.imdb.com/title/tt14186672/,8.2,115265,2024,2026-09-03T00:03:01-07:00
60,Law & Order: Special Victims Unit,https://www.imdb.com/title/tt0203259/,8.1,147015,1999,2026-09-03T00:03:01-07:00
61,The White Lotus,https://www.imdb.com/title/tt13406094/,8.0,333192,2021,2026-09-03T00:03:01-07:00
62,Shameless,https://www.imdb.com/title/tt1586680/,8.5,338002,2011,2026-09-03T00:03:01-07:00
63,The Bombing of Pan Am 103,https://www.imdb.com/title/tt13592494/,7.5,9565,2025,2026-09-03T00:03:01-07:00
64,Dexter,https://www.imdb.com/title/tt0773262/,8.6,953076,2006,2026-09-03T00:03:01-07:00
65,Black Mirror,https://www.imdb.com/title/tt2085059/,8.7,747521,2011,2026-09-03T00:03:01-07:00
66,One Hundred Years of Solitude,https://www.imdb.com/title/tt9892936/,8.3,21535,2024,2026-09-03T00:03:01-07:00
67,Anna Pigeon,https://www.imdb.com/title/tt36937503/,6.0,1084,2026,2026-09-03T00:03:01-07:00
68,Best Medicine,https://www.imdb.com/title/tt36885662/,6.7,6332,2026,2026-09-03T00:03:01-07:00
69,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.2,24814,2026,2026-09-03T00:03:01-07:00
70,MobLand,https://www.imdb.com/title/tt31510819/,8.3,122320,2025,2026-09-03T00:03:01-07:00
71,Person of Interest,https://www.imdb.com/title/tt1839578/,8.5,214975,2011,2026-09-03T00:03:01-07:00
72,American Horror Story,https://www.imdb.com/title/tt1844624/,7.9,364314,2011,2026-09-03T00:03:01-07:00
73,Friends,https://www.imdb.com/title/tt0108778/,8.8,1206128,1994,2026-09-03T00:03:01-07:00
74,Grey's Anatomy,https://www.imdb.com/title/tt0413573/,7.6,377468,2005,2026-09-03T00:03:01-07:00
75,A Knight of the Seven Kingdoms,https://www.imdb.com/title/tt27497448/,8.6,282216,2026,2026-09-03T00:03:01-07:00
76,Harry Potter,https://www.imdb.com/title/tt13918446/,,0,2026,2026-09-03T00:03:01-07:00
77,Succession,https://www.imdb.com/title/tt7660850/,8.8,366332,2018,2026-09-03T00:03:01-07:00
78,Euphoria,https://www.imdb.com/title/tt8772296/,8.1,323918,2019,2026-09-03T00:03:01-07:00
79,The Westies,https://www.imdb.com/title/tt31849235/,7.2,2738,2026,2026-09-03T00:03:01-07:00
80,The Big Bang Theory,https://www.imdb.com/title/tt0898266/,8.1,945297,2007,2026-09-03T00:03:01-07:00
81,Cape Fear,https://www.imdb.com/title/tt34675596/,6.7,22220,2026,2026-09-03T00:03:01-07:00
82,Bookish,https://www.imdb.com/title/tt32066226/,6.9,5097,2025,2026-09-03T00:03:01-07:00
83,Paradise,https://www.imdb.com/title/tt27444205/,7.9,88502,2025,2026-09-03T00:03:01-07:00
84,Bleach,https://www.imdb.com/title/tt0434665/,8.3,98466,2004,2026-09-03T00:03:01-07:00
85,The Punisher,https://www.imdb.com/title/tt5675620/,8.4,313501,2017,2026-09-03T00:03:01-07:00
86,IT,https://www.imdb.com/title/tt0099864/,6.8,154870,1990,2026-09-03T00:03:01-07:00
87,House,https://www.imdb.com/title/tt0412142/,8.7,599811,2004,2026-09-03T00:03:01-07:00
88,Shrinking,https://www.imdb.com/title/tt15677150/,8.2,130273,2023,2026-09-03T00:03:01-07:00
89,Fargo,https://www.imdb.com/title/tt2802850/,8.8,474497,2014,2026-09-03T00:03:01-07:00
90,ER,https://www.imdb.com/title/tt0108757/,7.9,80205,1994,2026-09-03T00:03:01-07:00
91,Suits,https://www.imdb.com/title/tt1632701/,8.4,548806,2011,2026-09-03T00:03:01-07:00
92,Operation Safed Sagar,https://www.imdb.com/title/tt36643714/,8.6,6432,2026,2026-09-03T00:03:01-07:00
93,Legends,https://www.imdb.com/title/tt33265765/,7.8,28299,2026,2026-09-03T00:03:01-07:00
94,It: Welcome to Derry,https://www.imdb.com/title/tt19244304/,7.9,118072,2025,2026-09-03T00:03:01-07:00
95,Pluribus,https://www.imdb.com/title/tt22202452/,7.9,172062,2025,2026-09-03T00:03:01-07:00
96,Gilmore Girls,https://www.imdb.com/title/tt0238784/,8.2,176699,2000,2026-09-03T00:03:01-07:00
97,The X-Files,https://www.imdb.com/title/tt0106179/,8.6,276157,1993,2026-09-03T00:03:01-07:00
98,Ted,https://www.imdb.com/title/tt14824792/,7.9,48629,2024,2026-09-03T00:03:01-07:00
99,Modern Family,https://www.imdb.com/title/tt1442437/,8.5,546548,2009,2026-09-03T00:03:01-07:00
100,Lost,https://www.imdb.com/title/tt0411008/,8.3,680903,2004,2026-09-03T00:03:01-07:00
