rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Джентльмены,The Gentlemen,https://www.kinopoisk.ru/series/1435343/,7.9,93994,2024,2026-09-19T00:03:03-07:00
2,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,172862,2025,2026-09-19T00:03:03-07:00
3,Монстры,Monster,https://www.kinopoisk.ru/series/1435087/,7.4,100560,2022,2026-09-19T00:03:03-07:00
4,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1653241,2011,2026-09-19T00:03:03-07:00
5,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,1009093,2013,2026-09-19T00:03:03-07:00
6,Менталист,The Mentalist,https://www.kinopoisk.ru/series/412344/,8.1,203393,2008,2026-09-19T00:03:03-07:00
7,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,171044,2023,2026-09-19T00:03:03-07:00
8,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.5,35390,2026,2026-09-19T00:03:03-07:00
9,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,244701,2018,2026-09-19T00:03:03-07:00
10,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,761896,2015,2026-09-19T00:03:03-07:00
11,Реинкарнация безработного: История о приключениях в другом мире,Mushoku Tensei: Isekai Ittara Honki Dasu,https://www.kinopoisk.ru/series/1312253/,8.3,207246,2021,2026-09-19T00:03:03-07:00
12,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,441303,2022,2026-09-19T00:03:03-07:00
13,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,336284,1999,2026-09-19T00:03:03-07:00
14,Фонари,Lanterns,https://www.kinopoisk.ru/series/5253825/,7.6,4972,2026,2026-09-19T00:03:03-07:00
15,Джек Ричер,Reacher,https://www.kinopoisk.ru/series/1209839/,7.4,66308,2022,2026-09-19T00:03:03-07:00
16,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,472009,2019,2026-09-19T00:03:03-07:00
17,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,1075511,2013,2026-09-19T00:03:03-07:00
18,Тёмная материя,Dark Matter,https://www.kinopoisk.ru/series/5024113/,7.7,69439,2024,2026-09-19T00:03:03-07:00
19,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,905309,2022,2026-09-19T00:03:03-07:00
20,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,433783,2006,2026-09-19T00:03:03-07:00
21,Медленные лошади,Slow Horses,https://www.kinopoisk.ru/series/1331649/,7.9,44013,2022,2026-09-19T00:03:03-07:00
22,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,455930,2011,2026-09-19T00:03:03-07:00
23,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,861306,2008,2026-09-19T00:03:03-07:00
24,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,670645,2010,2026-09-19T00:03:03-07:00
25,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,510812,2019,2026-09-19T00:03:03-07:00
26,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.9,124276,2016,2026-09-19T00:03:03-07:00
27,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,572205,2014,2026-09-19T00:03:03-07:00
28,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.3,865463,2016,2026-09-19T00:03:03-07:00
29,Изгнанный реинкарнированный тяжёлый рыцарь не имеет себе равных в знаниях игры,Tsuihou sareta Tensei Juukishi wa Game Chishiki de Musou suru,https://www.kinopoisk.ru/series/13041489/,7.4,3701,2026,2026-09-19T00:03:03-07:00
30,Тед Лассо,Ted Lasso,https://www.kinopoisk.ru/series/1309707/,8.5,147570,2020,2026-09-19T00:03:03-07:00
31,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,60058,2025,2026-09-19T00:03:03-07:00
32,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1134070,2020,2026-09-19T00:03:03-07:00
33,Третий лишний,Ted,https://www.kinopoisk.ru/series/4475348/,7.5,13112,2024,2026-09-19T00:03:03-07:00
34,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.6,30413,2026,2026-09-19T00:03:03-07:00
35,Осколки,The Shards,https://www.kinopoisk.ru/series/6531565/,6.2,6307,2026,2026-09-19T00:03:03-07:00
36,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,343448,2022,2026-09-19T00:03:03-07:00
37,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,445516,2004,2026-09-19T00:03:03-07:00
38,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,377736,1998,2026-09-19T00:03:03-07:00
39,Американская история ужасов,American Horror Story,https://www.kinopoisk.ru/series/589167/,7.9,291033,2011,2026-09-19T00:03:03-07:00
40,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,288526,2018,2026-09-19T00:03:03-07:00
41,Лэндмен,Landman,https://www.kinopoisk.ru/series/4909559/,8.3,63158,2024,2026-09-19T00:03:03-07:00
42,Нили,Neagley,https://www.kinopoisk.ru/series/9168581/,,0,2026,2026-09-19T00:03:03-07:00
43,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.1,123395,2026,2026-09-19T00:03:03-07:00
44,Одна из многих,Pluribus,https://www.kinopoisk.ru/series/6012599/,7.5,62787,2025,2026-09-19T00:03:03-07:00
45,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,707706,2005,2026-09-19T00:03:03-07:00
46,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,238952,2015,2026-09-19T00:03:03-07:00
