rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,419712,2019,2026-06-15T00:03:03-07:00
2,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,480139,2019,2026-06-15T00:03:03-07:00
3,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.6,20205,2026,2026-06-15T00:03:03-07:00
4,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,298264,2022,2026-06-15T00:03:03-07:00
5,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.2,34135,2026,2026-06-15T00:03:03-07:00
6,Черный двор. Побег,,https://www.kinopoisk.ru/series/12305098/,7.7,135146,2026,2026-06-15T00:03:03-07:00
7,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.9,7724,2026,2026-06-15T00:03:03-07:00
8,Закулисье,Backrooms,https://www.kinopoisk.ru/series/5129650/,7.6,5379,2022,2026-06-15T00:03:03-07:00
9,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1539126,2011,2026-06-15T00:03:03-07:00
10,Ателье колдовских колпаков,Tongari Boushi no Atelier,https://www.kinopoisk.ru/series/6802576/,8.9,39030,2026,2026-06-15T00:03:03-07:00
11,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.6,6452,2026,2026-06-15T00:03:03-07:00
12,Черный двор,,https://www.kinopoisk.ru/series/5319979/,7.8,255145,2023,2026-06-15T00:03:03-07:00
13,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.8,85611,2016,2026-06-15T00:03:03-07:00
14,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,957222,2013,2026-06-15T00:03:03-07:00
15,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,191785,2018,2026-06-15T00:03:03-07:00
16,Мыс страха,Cape Fear,https://www.kinopoisk.ru/series/6576642/,7.3,1603,2026,2026-06-15T00:03:03-07:00
17,Марианна,Marianne,https://www.kinopoisk.ru/series/1297198/,6.8,16500,2019,2026-06-15T00:03:03-07:00
18,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1067522,2020,2026-06-15T00:03:03-07:00
19,Каждый год после,Every Year After,https://www.kinopoisk.ru/series/11827840/,6.8,1392,2026,2026-06-15T00:03:03-07:00
20,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,817606,2008,2026-06-15T00:03:03-07:00
21,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,396901,2011,2026-06-15T00:03:03-07:00
22,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,396377,2006,2026-06-15T00:03:03-07:00
23,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,952060,2013,2026-06-15T00:03:03-07:00
24,Чёрная птица,Black Bird,https://www.kinopoisk.ru/series/4397580/,7.8,118484,2022,2026-06-15T00:03:03-07:00
25,Слабый герой,Yakhan yeongung,https://www.kinopoisk.ru/series/4857811/,8.4,300774,2022,2026-06-15T00:03:03-07:00
26,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,303119,1999,2026-06-15T00:03:03-07:00
27,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.4,842417,2016,2026-06-15T00:03:03-07:00
28,Суперчудаки,Deo wondeopulseu,https://www.kinopoisk.ru/series/6572309/,8.1,2654,2026,2026-06-15T00:03:03-07:00
29,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,707345,2015,2026-06-15T00:03:03-07:00
30,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,159052,2025,2026-06-15T00:03:03-07:00
31,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,802647,2022,2026-06-15T00:03:03-07:00
32,Получеловек,Half Man,https://www.kinopoisk.ru/series/7919289/,7.8,3521,2026,2026-06-15T00:03:03-07:00
33,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,636225,2010,2026-06-15T00:03:03-07:00
34,Бороуз,The Boroughs,https://www.kinopoisk.ru/series/7385223/,7.2,7269,2026,2026-06-15T00:03:03-07:00
35,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,277825,2018,2026-06-15T00:03:03-07:00
36,Красота,The Beauty,https://www.kinopoisk.ru/series/7178204/,7.0,22247,2026,2026-06-15T00:03:03-07:00
37,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,638166,2005,2026-06-15T00:03:03-07:00
38,Ночная сказка,Bir Gece Masali,https://www.kinopoisk.ru/series/6157707/,7.9,21334,2024,2026-06-15T00:03:03-07:00
39,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,53376,2025,2026-06-15T00:03:03-07:00
40,Детство Шелдона,Young Sheldon,https://www.kinopoisk.ru/series/1040419/,8.8,542386,2017,2026-06-15T00:03:03-07:00
41,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.2,108169,2026,2026-06-15T00:03:03-07:00
42,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,417055,2022,2026-06-15T00:03:03-07:00
43,Ранчо Даттонов,Dutton Ranch,https://www.kinopoisk.ru/series/7275308/,8.6,5082,2026,2026-06-15T00:03:03-07:00
44,Адский рай,Jigokuraku,https://www.kinopoisk.ru/series/4786341/,8.4,131334,2023,2026-06-15T00:03:03-07:00
45,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,132979,2023,2026-06-15T00:03:03-07:00
46,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,226737,2015,2026-06-15T00:03:03-07:00
47,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,557787,2014,2026-06-15T00:03:03-07:00
48,Гачиакута,Gachiakuta,https://www.kinopoisk.ru/series/7524629/,8.5,316863,2025,2026-06-15T00:03:03-07:00
49,Военный повар становится легендой,Chwisabyeong jeonseoli doeda,https://www.kinopoisk.ru/series/8425589/,8.1,5105,2026,2026-06-15T00:03:03-07:00
50,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,357813,1998,2026-06-15T00:03:03-07:00
