rank,title,url,score,votes,release_year,scraped_at
1,The Boys,https://www.imdb.com/title/tt1190634/,8.5,968867,2019,2026-05-29T00:03:03-07:00
2,Off Campus,https://www.imdb.com/title/tt33546863/,8.1,19595,2026,2026-05-29T00:03:03-07:00
3,The Boroughs,https://www.imdb.com/title/tt27557289/,7.5,10729,2026,2026-05-29T00:03:03-07:00
4,Dutton Ranch,https://www.imdb.com/title/tt34991493/,8.4,5430,2026,2026-05-29T00:03:03-07:00
5,Vought Rising,https://www.imdb.com/title/tt33041431/,,0,2027,2026-05-29T00:03:03-07:00
6,From,https://www.imdb.com/title/tt9813792/,7.8,184962,2022,2026-05-29T00:03:03-07:00
7,Legends,https://www.imdb.com/title/tt33265765/,7.9,13588,2026,2026-05-29T00:03:03-07:00
8,Widow's Bay,https://www.imdb.com/title/tt33332385/,8.3,9091,2026,2026-05-29T00:03:03-07:00
9,Euphoria,https://www.imdb.com/title/tt8772296/,8.2,306401,2019,2026-05-29T00:03:03-07:00
10,Nemesis,https://www.imdb.com/title/tt36022742/,5.9,2939,2026,2026-05-29T00:03:03-07:00
11,Your Friends & Neighbors,https://www.imdb.com/title/tt30459041/,7.7,56580,2025,2026-05-29T00:03:03-07:00
12,Game of Thrones,https://www.imdb.com/title/tt0944947/,9.2,2619373,2011,2026-05-29T00:03:03-07:00
13,Rivals,https://www.imdb.com/title/tt21906238/,7.9,18007,2024,2026-05-29T00:03:03-07:00
14,The Mandalorian,https://www.imdb.com/title/tt8111088/,8.6,656669,2019,2026-05-29T00:03:03-07:00
15,Virgin River,https://www.imdb.com/title/tt9077530/,7.4,59744,2019,2026-05-29T00:03:03-07:00
16,Berlin and the Lady with an Ermine,https://www.imdb.com/title/tt42178219/,7.0,4703,2026,2026-05-29T00:03:03-07:00
17,Margo's Got Money Troubles,https://www.imdb.com/title/tt31137273/,7.3,8576,2026,2026-05-29T00:03:03-07:00
18,Maximum Pleasure Guaranteed,https://www.imdb.com/title/tt35946742/,6.9,931,2026,2026-05-29T00:03:03-07:00
19,Hacks,https://www.imdb.com/title/tt11815682/,8.2,63830,2021,2026-05-29T00:03:03-07:00
20,Breaking Bad,https://www.imdb.com/title/tt0903747/,9.5,2621990,2008,2026-05-29T00:03:03-07:00
21,Marshals,https://www.imdb.com/title/tt36849871/,6.1,12446,2026,2026-05-29T00:03:03-07:00
22,The Pitt,https://www.imdb.com/title/tt31938062/,8.9,151382,2025,2026-05-29T00:03:03-07:00
23,Yellowstone,https://www.imdb.com/title/tt4236770/,8.6,311974,2018,2026-05-29T00:03:03-07:00
24,Half Man,https://www.imdb.com/title/tt32767294/,7.8,4227,2026,2026-05-29T00:03:03-07:00
25,Invincible,https://www.imdb.com/title/tt6741278/,8.7,340088,2021,2026-05-29T00:03:03-07:00
26,The Testaments,https://www.imdb.com/title/tt10970762/,8.3,6975,2026,2026-05-29T00:03:03-07:00
27,Jack Ryan,https://www.imdb.com/title/tt5057054/,8.0,193468,2018,2026-05-29T00:03:03-07:00
28,Spider-Noir,https://www.imdb.com/title/tt30460310/,8.3,5788,2026,2026-05-29T00:03:03-07:00
29,The Wonderfools,https://www.imdb.com/title/tt34440854/,7.7,3596,2026,2026-05-29T00:03:03-07:00
30,Stranger Things,https://www.imdb.com/title/tt4574334/,8.6,1703808,2016,2026-05-29T00:03:03-07:00
31,The Rookie,https://www.imdb.com/title/tt7587890/,8.0,128289,2018,2026-05-29T00:03:03-07:00
32,Supernatural,https://www.imdb.com/title/tt0460681/,8.4,539766,2005,2026-05-29T00:03:03-07:00
33,Two Weeks in August,https://www.imdb.com/title/tt36118374/,5.4,353,2026,2026-05-29T00:03:03-07:00
34,Mating Season,https://www.imdb.com/title/tt14690136/,6.5,755,2026,2026-05-29T00:03:03-07:00
35,For All Mankind,https://www.imdb.com/title/tt7772588/,8.1,88848,2019,2026-05-29T00:03:03-07:00
36,Man on Fire,https://www.imdb.com/title/tt27331527/,6.7,10025,2026,2026-05-29T00:03:03-07:00
37,Beef,https://www.imdb.com/title/tt14403178/,8.0,173235,2023,2026-05-29T00:03:03-07:00
38,Daredevil: Born Again,https://www.imdb.com/title/tt18923754/,8.1,106956,2025,2026-05-29T00:03:03-07:00
39,M.I.A.,https://www.imdb.com/title/tt33253070/,6.4,2073,2026,2026-05-29T00:03:03-07:00
