rank,name_ru,name_en,url,score,votes,scraped_at
1,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.3,403293,2026-05-28T07:03:31-07:00
2,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.8,1979,2026-05-28T07:03:31-07:00
3,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,459256,2026-05-28T07:03:31-07:00
4,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.2,18597,2026-05-28T07:03:31-07:00
5,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,287832,2026-05-28T07:03:31-07:00
6,Бороуз,The Boroughs,https://www.kinopoisk.ru/series/7385223/,7.2,2507,2026-05-28T07:03:31-07:00
7,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.8,77863,2026-05-28T07:03:31-07:00
8,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1528576,2026-05-28T07:03:31-07:00
9,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,951011,2026-05-28T07:03:31-07:00
10,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,391289,2026-05-28T07:03:31-07:00
11,Ателье колдовских колпаков,Tongari Boushi no Atelier,https://www.kinopoisk.ru/series/6802576/,8.9,32307,2026-05-28T07:03:31-07:00
12,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,299579,2026-05-28T07:03:31-07:00
13,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,156606,2026-05-28T07:03:31-07:00
14,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,813488,2026-05-28T07:03:31-07:00
15,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.8,2943,2026-05-28T07:03:31-07:00
16,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1061020,2026-05-28T07:03:31-07:00
17,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,404950,2026-05-28T07:03:31-07:00
18,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,184995,2026-05-28T07:03:31-07:00
19,Заложник,,https://www.kinopoisk.ru/series/11696714/,7.6,166874,2026-05-28T07:03:31-07:00
20,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.4,837643,2026-05-28T07:03:31-07:00
21,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,948681,2026-05-28T07:03:31-07:00
22,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,700540,2026-05-28T07:03:31-07:00
23,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,389763,2026-05-28T07:03:31-07:00
24,Военный повар становится легендой,Chwisabyeong jeonseoli doeda,https://www.kinopoisk.ru/series/8425589/,,0,2026-05-28T07:03:31-07:00
25,Далёкий город,Uzak Sehir,https://www.kinopoisk.ru/series/6553560/,8.4,163552,2026-05-28T07:03:31-07:00
26,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,632458,2026-05-28T07:03:31-07:00
27,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,51846,2026-05-28T07:03:31-07:00
28,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,635405,2026-05-28T07:03:31-07:00
29,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,275640,2026-05-28T07:03:31-07:00
30,Заветы,The Testaments,https://www.kinopoisk.ru/series/5116191/,7.9,4841,2026-05-28T07:03:31-07:00
31,Ранчо Даттонов,Dutton Ranch,https://www.kinopoisk.ru/series/7275308/,8.7,2240,2026-05-28T07:03:31-07:00
32,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,555574,2026-05-28T07:03:31-07:00
33,Адский рай,Jigokuraku,https://www.kinopoisk.ru/series/4786341/,8.4,126551,2026-05-28T07:03:31-07:00
34,У Марго проблемы с деньгами,Margo's Got Money Troubles,https://www.kinopoisk.ru/series/6458212/,7.0,5959,2026-05-28T07:03:31-07:00
35,Каштановый человечек,Kastanjemanden,https://www.kinopoisk.ru/series/1434190/,7.5,68898,2026-05-28T07:03:31-07:00
36,Дорохедоро,Dorohedoro,https://www.kinopoisk.ru/series/1311143/,8.2,24937,2026-05-28T07:03:31-07:00
37,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.2,105475,2026-05-28T07:03:31-07:00
38,Лучше звоните Солу,Better Call Saul,https://www.kinopoisk.ru/series/796660/,8.5,224916,2026-05-28T07:03:31-07:00
