rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,852014,2022,2026-08-09T00:03:03-07:00
2,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1584030,2011,2026-08-09T00:03:03-07:00
3,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,728993,2015,2026-08-09T00:03:03-07:00
4,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,145341,2023,2026-08-09T00:03:03-07:00
5,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,453359,2019,2026-08-09T00:03:03-07:00
6,Реинкарнация безработного: История о приключениях в другом мире,Mushoku Tensei: Isekai Ittara Honki Dasu,https://www.kinopoisk.ru/series/1312253/,8.2,135517,2021,2026-08-09T00:03:03-07:00
7,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,215578,2018,2026-08-09T00:03:03-07:00
8,Осколки,The Shards,https://www.kinopoisk.ru/series/6531565/,,0,2026,2026-08-09T00:03:03-07:00
9,Одиссей,The Odyssey,https://www.kinopoisk.ru/series/77183/,8.1,44948,1997,2026-08-09T00:03:03-07:00
10,Стерлинг-Поинт,Sterling Point,https://www.kinopoisk.ru/series/11832286/,6.7,961,2026,2026-08-09T00:03:03-07:00
11,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,981249,2013,2026-08-09T00:03:03-07:00
12,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,982603,2013,2026-08-09T00:03:03-07:00
13,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,336233,2022,2026-08-09T00:03:03-07:00
14,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,318288,1999,2026-08-09T00:03:03-07:00
15,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,500488,2019,2026-08-09T00:03:03-07:00
16,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.7,24741,2026,2026-08-09T00:03:03-07:00
17,Тед Лассо,Ted Lasso,https://www.kinopoisk.ru/series/1309707/,8.5,143066,2020,2026-08-09T00:03:03-07:00
18,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,416247,2006,2026-08-09T00:03:03-07:00
19,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,836502,2008,2026-08-09T00:03:03-07:00
20,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.5,27895,2026,2026-08-09T00:03:03-07:00
21,Мыс страха,Cape Fear,https://www.kinopoisk.ru/series/6576642/,6.7,9239,2026,2026-08-09T00:03:03-07:00
22,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,650115,2010,2026-08-09T00:03:03-07:00
23,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.3,856252,2016,2026-08-09T00:03:03-07:00
24,Лаки,Lucky,https://www.kinopoisk.ru/series/6640984/,6.3,4276,2026,2026-08-09T00:03:03-07:00
25,Менталист,The Mentalist,https://www.kinopoisk.ru/series/412344/,8.1,188286,2008,2026-08-09T00:03:03-07:00
26,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1090305,2020,2026-08-09T00:03:03-07:00
27,Я тебя отыщу,I Will Find You,https://www.kinopoisk.ru/series/9349321/,7.0,24251,2026,2026-08-09T00:03:03-07:00
28,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,423073,2011,2026-08-09T00:03:03-07:00
29,День Шакала,The Day of the Jackal,https://www.kinopoisk.ru/series/5461927/,7.9,83254,2024,2026-08-09T00:03:03-07:00
30,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,430130,2022,2026-08-09T00:03:03-07:00
31,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.1,116799,2026,2026-08-09T00:03:03-07:00
32,Ещё 17,Daha on Yedi,https://www.kinopoisk.ru/series/12588511/,8.3,9170,2026,2026-08-09T00:03:03-07:00
33,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.5,31410,2026,2026-08-09T00:03:03-07:00
34,Получеловек,Half Man,https://www.kinopoisk.ru/series/7919289/,7.9,9051,2026,2026-08-09T00:03:03-07:00
35,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.1,52293,2026,2026-08-09T00:03:03-07:00
36,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,284174,2018,2026-08-09T00:03:03-07:00
37,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,565246,2014,2026-08-09T00:03:03-07:00
38,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,166164,2025,2026-08-09T00:03:03-07:00
39,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,57283,2025,2026-08-09T00:03:03-07:00
40,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,425722,2004,2026-08-09T00:03:03-07:00
