rank,title_ru,title,url,score,votes,release_year,scraped_at
1,Джентльмены,The Gentlemen,https://www.kinopoisk.ru/series/1435343/,7.9,96475,2024,2026-09-24T00:03:03-07:00
2,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,175405,2025,2026-09-24T00:03:03-07:00
3,Реинкарнация безработного: История о приключениях в другом мире,Mushoku Tensei: Isekai Ittara Honki Dasu,https://www.kinopoisk.ru/series/1312253/,8.3,219680,2021,2026-09-24T00:03:03-07:00
4,Монстры,Monster,https://www.kinopoisk.ru/series/1435087/,7.4,102213,2022,2026-09-24T00:03:03-07:00
5,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.9,126929,2016,2026-09-24T00:03:03-07:00
6,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1661152,2011,2026-09-24T00:03:03-07:00
7,Братья,Brothers,https://www.kinopoisk.ru/series/12898669/,,0,2026,2026-09-24T00:03:03-07:00
8,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,1012595,2013,2026-09-24T00:03:03-07:00
9,Менталист,The Mentalist,https://www.kinopoisk.ru/series/412344/,8.1,205779,2008,2026-09-24T00:03:03-07:00
10,Фонари,Lanterns,https://www.kinopoisk.ru/series/5253825/,7.7,6125,2026,2026-09-24T00:03:03-07:00
11,Укрытие,Silo,https://www.kinopoisk.ru/series/4541515/,7.8,173972,2023,2026-09-24T00:03:03-07:00
12,Леди Баг и Супер-Кот,Miraculous: Tales of Ladybug & Cat Noir,https://www.kinopoisk.ru/series/958607/,8.3,765298,2015,2026-09-24T00:03:03-07:00
13,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.5,36890,2026,2026-09-24T00:03:03-07:00
14,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,338500,1999,2026-09-24T00:03:03-07:00
15,Рик и Морти,Rick and Morty,https://www.kinopoisk.ru/series/685246/,8.9,1081976,2013,2026-09-24T00:03:03-07:00
16,Дом Дракона,House of the Dragon,https://www.kinopoisk.ru/series/1316601/,8.1,910181,2022,2026-09-24T00:03:03-07:00
17,Джек Ричер,Reacher,https://www.kinopoisk.ru/series/1209839/,7.4,67178,2022,2026-09-24T00:03:03-07:00
18,О моём перерождении в слизь,Tensei Shitara Slime Datta Ken,https://www.kinopoisk.ru/series/1224030/,8.4,247405,2018,2026-09-24T00:03:03-07:00
19,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,459556,2011,2026-09-24T00:03:03-07:00
20,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,443856,2022,2026-09-24T00:03:03-07:00
21,Пусть послужит вам уроком,Chamgyoyuk,https://www.kinopoisk.ru/series/6648249/,8.6,31083,2026,2026-09-24T00:03:03-07:00
22,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,864542,2008,2026-09-24T00:03:03-07:00
23,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.2,473046,2019,2026-09-24T00:03:03-07:00
24,Ходячие мертвецы,The Walking Dead,https://www.kinopoisk.ru/series/508161/,8.0,673148,2010,2026-09-24T00:03:03-07:00
25,Настоящий детектив,True Detective,https://www.kinopoisk.ru/series/681831/,8.5,573181,2014,2026-09-24T00:03:03-07:00
26,Тёмная материя,Dark Matter,https://www.kinopoisk.ru/series/5024113/,7.7,69911,2024,2026-09-24T00:03:03-07:00
27,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.3,866445,2016,2026-09-24T00:03:03-07:00
28,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,435972,2006,2026-09-24T00:03:03-07:00
29,Тед Лассо,Ted Lasso,https://www.kinopoisk.ru/series/1309707/,8.5,148048,2020,2026-09-24T00:03:03-07:00
30,Медленные лошади,Slow Horses,https://www.kinopoisk.ru/series/1331649/,7.9,44372,2022,2026-09-24T00:03:03-07:00
31,Третий лишний,Ted,https://www.kinopoisk.ru/series/4475348/,7.5,13347,2024,2026-09-24T00:03:03-07:00
32,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1138503,2020,2026-09-24T00:03:03-07:00
33,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,344037,2022,2026-09-24T00:03:03-07:00
34,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,511881,2019,2026-09-24T00:03:03-07:00
35,5:32,5:32,https://www.kinopoisk.ru/series/4714902/,8.2,139516,2021,2026-09-24T00:03:03-07:00
36,Американский заложник,American Hostage,https://www.kinopoisk.ru/series/10465997/,,0,2026,2026-09-24T00:03:03-07:00
37,Питт,The Pitt,https://www.kinopoisk.ru/series/6589776/,8.7,60470,2025,2026-09-24T00:03:03-07:00
38,Нили,Neagley,https://www.kinopoisk.ru/series/9168581/,7.1,679,2026,2026-09-24T00:03:03-07:00
39,Йеллоустоун,Yellowstone,https://www.kinopoisk.ru/series/1045172/,8.6,289136,2018,2026-09-24T00:03:03-07:00
40,Киберсталкер,Stalk,https://www.kinopoisk.ru/series/1254840/,7.5,61230,2019,2026-09-24T00:03:03-07:00
41,Сверхъестественное,Supernatural,https://www.kinopoisk.ru/series/178707/,8.2,714106,2005,2026-09-24T00:03:03-07:00
42,Секс в большом городе,Sex and the City,https://www.kinopoisk.ru/series/77042/,8.2,378825,1998,2026-09-24T00:03:03-07:00
43,Американская история ужасов,American Horror Story,https://www.kinopoisk.ru/series/589167/,7.9,291399,2011,2026-09-24T00:03:03-07:00
44,Тьма,Dark,https://www.kinopoisk.ru/series/1032606/,8.1,253935,2017,2026-09-24T00:03:03-07:00
45,Осколки,The Shards,https://www.kinopoisk.ru/series/6531565/,6.2,7752,2026,2026-09-24T00:03:03-07:00
46,Отчаянные домохозяйки,Desperate Housewives,https://www.kinopoisk.ru/series/160958/,8.3,447841,2004,2026-09-24T00:03:03-07:00
47,Далёкий город,Uzak Sehir,https://www.kinopoisk.ru/series/6553560/,8.4,212964,2024,2026-09-24T00:03:03-07:00
48,Яростная,Furious,https://www.kinopoisk.ru/series/12946659/,7.4,5955,2026,2026-09-24T00:03:03-07:00
49,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,https://www.kinopoisk.ru/series/5281617/,8.1,124042,2026,2026-09-24T00:03:03-07:00
50,Девочки Гилмор,Gilmore Girls,https://www.kinopoisk.ru/series/86191/,8.1,26421,2000,2026-09-24T00:03:03-07:00
