rank,name_ru,name_en,url,score,votes,scraped_at
1,Паук-Нуар,Spider-Noir,https://www.kinopoisk.ru/series/5698586/,7.9,3302,2026-05-29T00:03:03-07:00
2,Пацаны,The Boys,https://www.kinopoisk.ru/series/460586/,8.3,404124,2026-05-29T00:03:03-07:00
3,Эйфория,Euphoria,https://www.kinopoisk.ru/series/1178445/,7.5,459911,2026-05-29T00:03:03-07:00
4,Вне кампуса,Off Campus,https://www.kinopoisk.ru/series/11804709/,8.2,19373,2026-05-29T00:03:03-07:00
5,Извне,From,https://www.kinopoisk.ru/series/4476885/,7.6,288205,2026-05-29T00:03:03-07:00
6,Черный двор. Побег,,https://www.kinopoisk.ru/series/12305098/,8.1,6082,2026-05-29T00:03:03-07:00
7,Бороуз,The Boroughs,https://www.kinopoisk.ru/series/7385223/,7.2,2820,2026-05-29T00:03:03-07:00
8,Игра престолов,Game of Thrones,https://www.kinopoisk.ru/series/464963/,9.0,1529011,2026-05-29T00:03:03-07:00
9,Re:ZERO – Жизнь с нуля в альтернативном мире,Re:Zero kara Hajimeru Isekai Seikatsu,https://www.kinopoisk.ru/series/971114/,7.8,78275,2026-05-29T00:03:03-07:00
10,Бухта вдов,Widow's Bay,https://www.kinopoisk.ru/series/6555657/,7.8,3059,2026-05-29T00:03:03-07:00
11,Атака титанов,Shingeki no kyojin,https://www.kinopoisk.ru/series/749374/,8.7,951258,2026-05-29T00:03:03-07:00
12,Декстер,Dexter,https://www.kinopoisk.ru/series/277537/,8.3,391538,2026-05-29T00:03:03-07:00
13,Сопрано,The Sopranos,https://www.kinopoisk.ru/series/79848/,8.9,299743,2026-05-29T00:03:03-07:00
14,Во все тяжкие,Breaking Bad,https://www.kinopoisk.ru/series/404900/,8.9,813678,2026-05-29T00:03:03-07:00
15,Гангстерленд,MobLand,https://www.kinopoisk.ru/series/5512084/,8.2,156731,2026-05-29T00:03:03-07:00
16,Ателье колдовских колпаков,Tongari Boushi no Atelier,https://www.kinopoisk.ru/series/6802576/,8.9,32554,2026-05-29T00:03:03-07:00
17,Постучись в мою дверь,Sen Çal Kapımı,https://www.kinopoisk.ru/series/1392743/,8.1,1061356,2026-05-29T00:03:03-07:00
18,Очень странные дела,Stranger Things,https://www.kinopoisk.ru/series/915196/,8.4,837831,2026-05-29T00:03:03-07:00
19,Черный двор,,https://www.kinopoisk.ru/series/5319979/,7.8,224537,2026-05-29T00:03:03-07:00
20,Клюквенный щербет,Kızılcık Şerbeti,https://www.kinopoisk.ru/series/5107166/,8.5,405539,2026-05-29T00:03:03-07:00
21,Заложник,,https://www.kinopoisk.ru/series/11696714/,7.6,171939,2026-05-29T00:03:03-07:00
22,Великолепный век,Muhtesem Yüzyil,https://www.kinopoisk.ru/series/610422/,8.2,390162,2026-05-29T00:03:03-07:00
